id,host_id,rating,latitude,longitude
6369,13660,4.86,40.45724,-3.67688
21853,83531,4.67,40.40381,-3.7413
23001,82175,0.0,40.3884,-3.69511
24805,346366726,4.76,40.42183,-3.70529
26825,114340,4.73,40.38975,-3.69018
28200,82175,4.5,40.3886,-3.69492
30959,132883,4.25,40.41259,-3.70105
40718,34217435,4.68,40.41969,-3.69736
47957,218515,4.79,40.42792,-3.67682
62423,303845,4.48,40.41884,-3.69655
70059,353616,4.49,40.42381,-3.71038
70073,353738,4.17,40.42252,-3.7025
70310,353738,4.0,40.42252,-3.7025
74352,391014,4.6,40.40864,-3.70884
82481,448981,4.69,40.42342,-3.68123
84719,259229,4.69,40.40866,-3.70374
86042,364585,4.68,40.40939,-3.69812
92920,495849,4.84,40.42491,-3.69552
93100,499977,4.57,40.42378,-3.70248
96807,513331,4.58,40.38159,-3.65534
100411,527760,4.67,40.50044,-3.67032
102040,533936,0.0,40.43422,-3.64196
102194,534515,4.4,40.42318,-3.69748
103541,361930,4.56,40.43815,-3.69764
114854,361930,4.52,40.4382,-3.69389
120293,605612,4.74,40.41143,-3.70912
123864,605612,4.64,40.41001,-3.70704
127819,632589,4.54,40.4141,-3.70289
132428,650803,4.92,40.41012,-3.69709
136058,666482,4.91,40.35761,-3.69723
150123,723539,4.83,40.40639,-3.70048
153798,739627,4.88,40.46088,-3.64679
156555,752704,4.33,40.35598,-3.78526
163429,780107,4.71,40.43765,-3.70408
167183,796746,4.92,40.45575,-3.64912
170750,814490,4.59,40.42386,-3.70489
177523,596469,4.5,40.42876,-3.70379
196197,852616,4.62,40.41235,-3.70967
199201,749212,4.8,40.41319,-3.7024
200828,75944,0.0,40.43201,-3.68358
204570,1004721,4.84,40.4152,-3.69668
205199,1008659,4.91,40.42116,-3.70384
209373,1031664,4.89,40.41126,-3.70347
211444,1090760,4.92,40.45959,-3.64699
217674,1732442,4.71,40.41538,-3.70741
219303,499977,4.42,40.42377,-3.70241
225462,1174648,4.57,40.41366,-3.69788
225489,1172225,4.83,40.43595,-3.70706
229664,1130651,4.37,40.4078,-3.70085
231861,1212528,0.0,40.43699,-3.70037
250858,630482,4.5,40.39231,-3.72359
256004,1732442,4.5,40.41428,-3.70767
260656,1367452,4.5,40.40743,-3.70114
260951,1351865,4.72,40.47189,-3.62966
261878,1373873,4.8,40.42269,-3.70378
263748,1351865,4.74,40.47142,-3.62881
268275,1406073,4.68,40.412682,-3.702548
280733,596469,4.69,40.42457,-3.70802
281224,1466005,4.57,40.41685,-3.70882
287660,1496188,4.9,40.42683,-3.71108
289555,901218,4.59,40.41758,-3.69631
294520,1522694,4.17,40.42226,-3.69959
294529,1522694,4.63,40.42226,-3.69959
297017,4677030,4.15,40.41414,-3.69419
310333,1596220,4.58,40.40908,-3.69514
336672,1716726,4.76,40.39516,-3.69309
336834,1713427,4.6,40.42242,-3.69562
336869,1713524,4.9,40.41593,-3.70602
337292,1714866,5.0,40.44663,-3.67625
339144,1721158,4.88,40.42838,-3.70345
339171,1722284,4.86,40.41285,-3.69553
341939,1694537,4.7,40.41037,-3.70018
342095,1703448,4.81,40.41015,-3.69797
342557,1738288,4.78,40.45005,-3.67569
342670,1738846,4.82,40.40501,-3.69626
345249,1751133,4.22,40.47148,-3.68946
354838,1496188,4.58,40.4249,-3.7097
361053,1729503,4.56,40.40988,-3.67503
363476,1836617,4.51,40.41676,-3.70682
371532,1871034,4.81,40.41944,-3.70945
375472,1888816,4.72,40.40334,-3.70254
376379,1892467,4.36,40.41115,-3.69673
396532,1981346,4.84,40.41959,-3.70373
397778,1408525,4.23,40.41506,-3.7029
398450,2150362,4.69,40.42771,-3.71029
402588,1408525,4.56,40.4149,-3.70331
404569,1408525,4.07,40.42552,-3.70589
406341,2024487,4.89,40.42978,-3.67817
406697,1973909,4.54,40.41401,-3.70004
410699,2044655,4.7,40.41737,-3.70015
414763,1408525,4.31,40.41281,-3.70749
415967,2068619,4.59,40.40827,-3.70049
420039,9934732,4.27,40.42738,-3.70635
427407,2106353,4.5,40.41155,-3.70146
429306,2134007,4.73,40.43028,-3.70732
429604,2106353,4.5,40.4135,-3.70145
434107,2157770,4.33,40.46642,-3.69689
439715,2184106,4.64,40.42224,-3.69776
449218,2230279,4.84,40.42849,-3.70183
451174,2240898,5.0,40.434551,-3.698387
456165,617086,5.0,40.39032,-3.71382
459303,1408525,4.43,40.42548,-3.7042
459362,1408525,4.32,40.41592,-3.70177
460898,2290984,0.0,40.48503,-3.69858
462072,2296476,4.86,40.40869,-3.71073
463246,2302267,4.82,40.41419,-3.71113
468202,2322563,4.57,40.42123,-3.70133
469231,1408525,4.5,40.41941,-3.70823
470132,2332600,4.62,40.41018,-3.70164
471198,1408525,4.29,40.42359,-3.70537
471328,1408525,4.54,40.41628,-3.70364
473112,2346162,4.6,40.42349,-3.70024
479718,2376402,4.56,40.43202,-3.60353
482122,1408525,4.08,40.43271,-3.70156
491070,2427722,4.58,40.42885,-3.70479
497706,2456671,4.73,40.40808,-3.68338
499911,2467212,4.81,40.41234,-3.70186
502918,2480913,4.81,40.41155,-3.69492
506956,1932547,4.88,40.44117,-3.64841
507614,2501740,4.78,40.42323,-3.70434
510973,2517520,4.86,40.41412,-3.70057
514917,83531,4.88,40.40445,-3.7398
515008,2536524,4.81,40.42297,-3.61193
518208,2536524,4.67,40.42756,-3.61577
518511,1150912,4.5,40.41012,-3.70484
521329,2563986,0.0,40.45591,-3.68773
521367,2564339,4.68,40.4154,-3.70255
522563,1652272,4.66,40.41152,-3.70991
524003,2576044,4.92,40.41327,-3.70223
526162,2249249,4.0,40.4057,-3.67605
526513,1134989,4.71,40.41604,-3.70834
529690,1020814,4.79,40.41004,-3.71233
531677,2613319,4.88,40.42286,-3.70236
536574,447969,3.0,40.39317,-3.69358
537234,2638528,4.54,40.40108,-3.69113
540937,2659070,4.42,40.40954,-3.70096
541406,2661721,0.0,40.46905,-3.66637
544736,1284868,4.73,40.45841,-3.67598
545174,2680319,3.5,40.43474,-3.71233
548995,2673517,4.85,40.419,-3.67774
552183,2713304,4.86,40.41309,-3.69775
560941,596469,4.64,40.42297,-3.69095
565152,2779192,4.37,40.40683,-3.69932
566241,2785251,4.86,40.40913,-3.699
568190,2795931,4.87,40.41016,-3.72863
570158,2347489,4.56,40.447,-3.70291
572048,1689652,0.0,40.42993,-3.70339
576487,2312712,4.63,40.4739,-3.57583
578731,2847013,4.69,40.42551,-3.70812
588382,2902269,4.5,40.41151,-3.70257
588518,2267893,4.74,40.4158,-3.70962
590710,2913511,4.81,40.36725,-3.68875
595055,2940355,4.58,40.39523,-3.7132
598771,2678039,4.82,40.40661,-3.6952
599134,1567773,4.71,40.41596,-3.70846
599885,2214378,4.82,40.42397,-3.69721
604150,2990747,4.5,40.4312,-3.68502
604632,2993477,4.28,40.457,-3.70436
605339,2783896,4.86,40.40743,-3.74293
607548,3010452,2.0,40.39366,-3.66535
608742,3017315,4.76,40.41744,-3.70873
610675,2174652,5.0,40.41769,-3.69974
616027,3053021,4.79,40.43922,-3.67574
618576,3017315,4.79,40.41771,-3.70925
625566,2773350,4.67,40.40349,-3.70418
628394,3121587,4.54,40.4173,-3.70208
631737,3141727,5.0,40.47143,-3.6748
643471,3290138,4.43,40.41256,-3.70373
644656,3226403,4.33,40.42432,-3.6399
655514,3226403,0.0,40.42432,-3.6399
659887,3329487,4.75,40.40264,-3.68309
