id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
6369,0.99,3,1125,1.0,21.0,8.0,1125.0,6.0,1122.5,t,5,12,22,92
336672,0.99,3,35,1.0,3.0,1125.0,1125.0,1.7,1125.0,t,4,18,41,41
21853,0.99,4,40,4.0,4.0,40.0,40.0,4.0,40.0,t,0,5,35,310
336834,0.99,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,0,7,7,7
23001,0.99,15,730,15.0,15.0,730.0,730.0,15.0,730.0,t,8,33,63,319
336869,0.99,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,0
337292,0.99,2,330,2.0,2.0,330.0,330.0,2.0,330.0,t,0,0,0,0
24805,0.99,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,3,28,58,148
26825,0.99,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,7,7,11,286
339144,0.99,14,1125,14.0,14.0,1125.0,1125.0,14.0,1125.0,t,10,22,23,245
339171,0.99,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,4,8,9,166
341939,0.99,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,0,10,254
28200,0.99,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,8,29,59,334
30959,0.99,3,730,3.0,3.0,730.0,730.0,3.0,730.0,t,0,0,0,0
342095,0.99,5,1125,5.0,14.0,1125.0,1125.0,6.6,1125.0,t,4,27,56,319
40718,0.99,2,500,2.0,2.0,500.0,500.0,2.0,500.0,t,2,11,17,252
342557,0.99,2,120,2.0,2.0,120.0,120.0,2.0,120.0,t,0,20,50,325
47957,0.99,10,999,10.0,10.0,999.0,999.0,10.0,999.0,t,0,5,5,119
342670,0.99,3,28,3.0,3.0,28.0,28.0,3.0,28.0,t,28,58,88,179
62423,0.99,1,90,1.0,1.0,90.0,90.0,1.0,90.0,t,12,35,65,340
345249,0.99,150,660,150.0,150.0,660.0,660.0,150.0,660.0,t,27,57,87,294
70059,0.99,28,365,5.0,28.0,1125.0,1125.0,26.1,1125.0,t,3,3,6,205
70073,0.99,28,360,28.0,28.0,1125.0,1125.0,28.0,1125.0,t,0,5,10,285
354838,0.99,20,300,20.0,20.0,300.0,300.0,20.0,300.0,t,0,0,0,0
70310,0.99,28,360,28.0,28.0,1125.0,1125.0,28.0,1125.0,t,0,26,56,331
74352,0.99,8,1125,8.0,8.0,1125.0,1125.0,8.0,1125.0,t,4,4,4,131
361053,0.99,2,365,2.0,2.0,365.0,365.0,2.0,365.0,t,5,6,11,102
82481,0.99,3,365,3.0,3.0,365.0,365.0,3.0,365.0,t,0,0,0,0
84719,0.99,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0,t,10,38,45,46
86042,0.99,3,365,1.0,3.0,365.0,365.0,3.0,365.0,t,11,38,68,159
363476,0.99,2,90,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,4,7,10,254
89954,0.99,2,30,2.0,3.0,1125.0,1125.0,2.3,1125.0,t,2,21,49,105
371532,0.99,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,1,1,9
92920,0.99,2,365,2.0,2.0,365.0,365.0,2.0,365.0,t,11,39,69,344
375472,0.99,6,365,6.0,6.0,365.0,365.0,6.0,365.0,t,0,0,0,0
376379,0.99,10,1125,2.0,10.0,365.0,1125.0,9.9,1114.7,t,0,1,26,243
93100,0.99,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,1,12,37,295
396532,0.99,2,18,2.0,2.0,18.0,18.0,2.0,18.0,t,0,6,36,311
100411,0.99,2,30,2.0,2.0,30.0,30.0,2.0,30.0,t,0,0,0,0
102040,0.99,3,90,3.0,3.0,90.0,90.0,3.0,90.0,t,0,15,42,42
397778,0.99,3,365,2.0,3.0,2.0,1125.0,3.0,1114.8,t,5,27,54,307
102194,0.99,3,365,3.0,3.0,365.0,365.0,3.0,365.0,t,0,0,0,148
398450,0.99,3,90,2.0,3.0,90.0,90.0,3.0,90.0,t,2,5,16,221
103541,0.99,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,7,13,32,215
114854,0.99,2,90,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,2,10,12,198
402588,0.99,3,365,2.0,3.0,2.0,1125.0,3.0,1104.7,t,8,13,29,285
120293,0.99,1,365,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,19,46,72,347
404569,0.99,3,365,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,1,19,42,287
123864,0.99,1,365,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,4,19,34,107
406341,0.99,3,180,3.0,3.0,180.0,180.0,3.0,180.0,t,3,13,37,192
