id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
739050293075807067,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
739081904302479777,0.99,5,15,5,5,1125,1125,5.0,1125.0,t,12,15,42,42
739098362470311465,0.99,3,365,3,3,365,365,3.0,365.0,t,8,38,68,343
739112006952985709,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,196
741778922019290074,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,9,20,20,20
741779116176182569,0.99,1,365,1,5,999,999,4.6,999.0,t,0,0,0,0
739139232385469776,0.99,7,1125,20,20,1125,1125,20.0,1125.0,t,30,60,90,365
739541964000503705,0.99,3,1000,2,4,1000,1000,3.4,1000.0,t,9,35,65,113
739555122238930709,0.99,2,365,1,2,1125,1125,1.3,1125.0,t,0,0,0,146
741787608082708805,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
741788153140303135,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,6,15,15,15
741789987521763829,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,6,18,18,18
741791462432523727,0.99,1,1125,1,2,1125,1125,1.3,1125.0,t,8,20,50,50
739614807374803251,0.99,1,365,2,5,365,365,4.6,365.0,t,6,15,45,299
741837290096943840,0.99,1,365,1,1,365,365,1.0,365.0,t,13,43,73,348
739638372124970704,0.99,1,365,1,2,365,365,1.4,365.0,f,0,0,0,0
739639186016983466,0.99,30,1125,5,360,1125,1125,357.6,1125.0,t,8,38,68,343
739641170415696930,0.99,1,1125,1,4,4,1125,2.3,842.4,t,0,4,34,96
742387077022694190,0.99,2,25,2,2,1125,1125,2.0,1125.0,t,0,30,60,333
739667244972812192,0.99,2,365,2,2,365,365,2.0,365.0,t,0,0,0,0
739667513363311613,0.99,1,365,1,4,365,365,2.0,365.0,t,0,0,0,0
739677328808839049,0.99,1,365,1,4,365,365,2.0,365.0,t,13,41,66,254
742446580111195668,0.99,1,365,1,5,28,28,4.6,28.0,t,3,4,16,278
742447230889507354,0.99,3,365,3,3,365,365,3.0,365.0,t,9,10,10,248
739694298034281287,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,1,1,1,1
739696680818910503,0.99,1,365,1,4,365,365,2.0,365.0,t,17,34,61,246
739721914714622899,0.99,1,365,2,5,365,365,4.7,365.0,t,11,41,71,346
739754967717226092,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,14,36,56,322
739782154340359571,0.99,2,365,2,2,365,365,2.0,365.0,t,1,1,1,1
742463086470094012,0.99,3,365,3,5,365,365,3.9,365.0,t,10,40,70,151
739804925647570095,0.99,2,365,2,2,365,365,2.0,365.0,t,30,60,90,365
742506441960304692,0.99,1,365,1,3,365,365,2.9,365.0,t,10,31,45,45
742533504106741714,0.99,1,365,2,90,365,365,6.0,365.0,t,0,0,0,0
742574053285336807,0.99,31,330,31,31,330,330,31.0,330.0,t,0,0,0,106
739826562933113599,0.99,1,210,1,190,210,210,84.9,210.0,t,0,0,0,196
742590318753080305,0.99,31,330,31,31,330,330,31.0,330.0,t,5,6,6,213
742597028536068873,0.99,21,280,21,21,280,280,21.0,280.0,t,7,37,67,157
739836127777170622,0.99,1,365,1,1,365,365,1.0,365.0,t,22,52,82,357
739836312038217242,0.99,2,365,2,2,1125,1125,2.0,1125.0,t,17,17,17,17
742600788928804131,0.99,1,1124,1,5,1125,1125,1.5,1125.0,t,30,60,90,365
742647678896607606,0.99,21,365,1,21,365,365,21.0,365.0,t,0,28,58,238
739886859834430933,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,13,43,73,348
739887121630280751,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,12,33,62,62
739889126438625019,0.99,2,30,2,2,30,30,2.0,30.0,f,0,0,0,0
742832366715990675,0.99,2,365,2,2,365,365,2.0,365.0,f,0,0,0,0
739894100349429028,0.99,1,30,1,1,30,30,1.0,30.0,t,1,13,38,38
739902398685533933,0.99,2,10,2,2,10,10,2.0,10.0,t,25,55,85,360
740241916574543971,0.99,1,365,1,5,999,999,4.6,999.0,t,0,0,0,0
740260158818957901,0.99,2,15,2,2,1125,1125,2.0,1125.0,t,26,56,86,355
743009011280342124,0.99,3,31,3,5,31,31,3.9,31.0,t,23,53,81,355
743082350511313140,0.99,6,365,1,6,1,365,5.9,348.0,t,15,45,75,350
743137843795965365,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0
740273578009793506,0.99,4,5,4,4,5,5,4.0,5.0,t,0,8,38,128
740345294603687849,0.99,2,365,1,3,365,365,2.0,365.0,t,4,15,21,167
740350594931648113,0.99,2,10,2,3,10,10,2.1,10.0,t,29,59,89,364
740353747810456880,0.99,2,6,2,2,6,6,2.0,6.0,t,22,52,82,357
743160593837479172,0.99,1,5,1,1,5,5,1.0,5.0,t,5,35,65,65
743187175209539080,0.99,2,30,2,2,30,30,2.0,30.0,t,0,0,0,0
743331940545492517,0.99,7,360,2,7,360,360,6.6,360.0,t,26,56,86,110
743347656790385479,0.99,3,365,3,3,365,365,3.0,365.0,t,12,36,62,337
743398494037088690,0.99,3,20,2,3,20,20,3.0,20.0,t,3,28,58,228
740381087542354490,0.99,1,1125,1,4,99,99,2.8,99.0,t,10,22,43,318
740500970470809488,0.99,2,365,2,2,365,365,2.0,365.0,t,12,42,72,347
740515669821572646,0.99,4,1125,4,4,1125,1125,4.0,1125.0,f,0,0,0,0
743485327484736221,0.99,7,730,7,7,1125,1125,7.0,1125.0,t,15,45,62,62
740530227497100367,0.99,1,365,1,1,365,365,1.0,365.0,t,9,20,41,293
743558869606652202,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,166
740539279582716725,0.99,3,40,3,3,1125,1125,3.0,1125.0,t,0,0,0,0
740600675949449223,0.99,3,365,3,3,365,365,3.0,365.0,t,24,54,84,359
743924285209623552,0.99,1,365,1,1,365,365,1.0,365.0,t,30,60,90,90
740616990047263822,0.99,3,90,3,3,1125,1125,3.0,1125.0,t,23,53,83,173
743925348122101227,0.99,2,60,2,2,1125,1125,2.0,1125.0,t,24,54,84,84
740918279298299346,0.99,2,30,2,2,30,30,2.0,30.0,t,15,45,75,350
744005210080743389,0.99,1,30,1,1,30,30,1.0,30.0,t,30,60,90,364
740974226058147125,0.99,3,365,3,4,365,365,3.7,365.0,t,24,54,84,165
740978927983135947,0.99,2,60,2,2,1125,1125,2.0,1125.0,t,9,21,47,47
741024504238496443,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,11,11,11,11
741032015444168789,0.99,5,60,2,5,60,90,4.9,60.4,t,0,0,0,0
741052749751923950,0.99,5,60,2,5,60,90,4.8,60.8,t,0,0,0,0
741052847883738627,0.99,5,60,2,5,60,90,4.9,60.4,t,21,51,81,356
744085662511261561,0.99,2,365,2,2,365,365,2.0,365.0,t,0,0,0,0
741089674329591694,0.99,1,365,1,2,365,365,2.0,365.0,t,5,7,15,197
741115114967284775,0.99,31,330,31,31,330,330,31.0,330.0,t,29,59,89,129
746125045220759965,0.99,3,365,3,3,365,365,3.0,365.0,t,16,33,63,338
744105882375056385,0.99,1,365,1,3,365,365,1.3,365.0,t,24,54,84,174
744118031087281995,0.99,2,365,2,2,2,1125,2.0,751.8,t,18,48,78,338
746152039601357021,0.99,1,1125,1,2,1,1125,2.0,76.1,t,19,49,79,354
744128870645400340,0.99,6,365,6,6,365,365,6.0,365.0,t,25,55,85,360
744168283191639751,0.99,2,365,2,2,1125,1125,2.0,1125.0,t,9,36,66,156
746170472665221497,0.99,1,1125,1,2,1,1125,1.8,180.2,t,14,31,49,318
744215348917990668,0.99,3,30,3,3,30,30,3.0,30.0,t,6,6,6,6
746180391180216191,0.99,1,1125,1,3,1,1125,2.3,145.6,t,10,34,64,335
746244863871176549,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,4,15,15,15
746305488900931070,0.99,1,365,1,1,365,365,1.0,365.0,t,18,48,78,284
744240279334283403,0.99,2,365,2,5,365,365,2.9,365.0,t,22,49,79,290
746315408697314534,0.99,1,1125,1,2,1125,1125,2.0,1125.0,t,20,45,71,342
