id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
6369,0.99,3,1125,3,21,1125,1125,5.5,1125.0,t,0,26,56,56
21853,0.99,4,40,4,4,40,40,4.0,40.0,t,0,1,1,255
24805,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,1,5,5,80
26825,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,12,34,64,339
363476,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,2,9,18,271
30320,0.99,5,180,5,5,180,180,5.0,180.0,t,23,53,83,353
30478,0.99,6,1124,6,6,1124,1124,6.0,1124.0,t,0,11,41,287
30959,0.99,3,730,3,3,730,730,3.0,730.0,t,0,0,0,0
40718,0.99,2,500,2,2,500,500,2.0,500.0,t,2,10,35,293
371532,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,103
40916,0.99,5,180,5,5,180,180,5.0,180.0,t,6,15,45,314
47957,0.99,10,999,10,10,999,999,10.0,999.0,t,0,0,0,1
375472,0.99,6,365,6,6,365,365,6.0,365.0,t,0,0,0,0
62423,0.99,1,90,1,1,1125,1125,1.0,1125.0,t,11,38,68,343
376379,0.99,10,1125,10,10,1125,1125,10.0,1125.0,t,2,8,8,269
70073,0.99,28,360,28,28,1125,1125,28.0,1125.0,t,6,6,26,301
70310,0.99,28,360,20,28,1125,1125,27.9,1125.0,t,2,2,2,275
74352,0.99,8,1125,8,8,1125,1125,8.0,1125.0,t,0,0,0,223
396532,0.99,2,18,2,2,18,18,2.0,18.0,t,2,32,62,337
397778,0.99,3,365,2,3,2,1125,3.0,1104.7,t,4,10,33,296
82481,0.99,3,365,3,3,365,365,3.0,365.0,t,0,0,0,0
84719,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,5,5,5,6
398450,0.99,3,90,3,4,90,90,3.2,90.0,t,0,2,8,255
86042,0.99,3,365,3,4,365,365,3.0,365.0,t,15,45,75,160
402588,0.99,3,365,2,3,2,1125,3.0,1114.8,t,1,11,37,301
404569,0.99,3,365,2,3,2,1125,3.0,1117.4,t,3,16,44,312
89954,0.99,2,30,2,3,1125,1125,2.3,1125.0,t,3,7,7,7
406341,0.99,3,180,3,3,180,180,3.0,180.0,t,0,12,21,177
414763,0.99,3,365,2,3,2,1125,3.0,1114.8,t,4,7,11,270
415967,0.99,2,30,2,2,30,30,2.0,30.0,t,2,8,30,55
93100,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,5,16,37,308
420039,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,1,4,7,237
100411,0.99,2,30,2,2,30,30,2.0,30.0,t,0,0,0,0
102040,0.99,3,90,3,3,90,90,3.0,90.0,t,0,23,53,53
427407,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,1,9,27,300
103541,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,3,3,6,231
429306,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,10,24,45,201
114854,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,0,2,10,255
429604,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,4,12,37,309
120293,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,13,43,72,347
449218,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,5,8,22,288
123864,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,2,9,30,107
451174,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,12,37,67,67
