id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6369,104,9,1,4.87,4.91,4.83,4.77,4.86,4.83,4.86,0.65
21853,33,0,0,4.58,4.72,4.56,4.75,4.82,4.21,4.67,0.31
24805,29,11,2,4.9,4.9,4.86,5.0,5.0,5.0,4.83,0.28
26825,194,30,1,4.72,4.82,4.92,4.79,4.72,4.73,4.77,1.22
29044,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02
30320,172,1,0,4.63,4.71,4.88,4.82,4.78,4.9,4.69,1.09
30959,8,0,0,4.38,4.14,4.38,4.63,4.63,4.88,4.25,0.08
40718,134,10,0,4.61,4.72,4.68,4.59,4.85,4.95,4.64,0.86
40916,49,0,0,4.65,4.69,4.9,4.85,4.79,4.88,4.55,0.32
47957,61,4,1,4.83,4.88,4.84,4.88,4.84,4.91,4.79,0.4
62423,161,30,4,4.6,4.74,4.35,4.76,4.83,4.97,4.5,2.6
70073,30,4,0,4.28,4.52,4.47,4.45,4.45,4.66,4.21,0.21
70310,28,3,1,4.33,4.61,4.5,4.81,4.68,4.85,4.11,0.19
74352,5,0,0,4.6,4.6,4.4,5.0,5.0,4.8,4.6,0.07
82481,108,0,0,4.78,4.69,4.96,4.97,4.96,4.95,4.69,0.73
84719,187,0,0,4.68,4.78,4.87,4.82,4.85,4.44,4.69,1.27
86042,189,28,1,4.82,4.81,4.65,4.86,4.9,4.91,4.68,1.3
89954,236,27,1,4.81,4.86,4.77,4.9,4.87,4.94,4.74,1.62
93100,785,87,6,4.51,4.54,4.57,4.7,4.71,4.84,4.59,5.33
100411,3,0,0,4.67,5.0,4.67,5.0,4.33,4.33,4.67,0.03
102040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103541,257,35,6,4.58,4.71,4.7,4.71,4.8,4.77,4.58,1.77
114854,146,23,2,4.58,4.59,4.59,4.85,4.83,4.82,4.51,1.03
120293,295,53,10,4.77,4.85,4.82,4.9,4.89,4.96,4.73,2.05
123864,653,68,9,4.66,4.75,4.79,4.79,4.87,4.88,4.66,4.49
132428,157,36,2,4.78,4.83,4.82,4.87,4.91,4.97,4.82,2.14
136058,97,9,0,4.94,4.96,4.95,4.98,4.98,4.74,4.93,0.67
163429,8,0,0,4.75,5.0,4.57,5.0,4.86,5.0,4.71,0.06
167183,43,8,0,4.9,4.85,4.93,4.9,4.85,4.83,4.85,0.32
170750,190,0,0,4.48,4.58,4.29,4.84,4.77,4.89,4.59,1.34
177523,32,10,0,4.58,4.63,4.59,4.81,4.72,4.91,4.5,0.23
196197,379,53,2,4.71,4.73,4.78,4.8,4.85,4.87,4.6,2.65
199201,185,36,3,4.89,4.87,4.91,4.98,4.99,4.99,4.82,1.29
200828,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204570,102,0,0,4.85,4.85,4.84,4.94,4.91,4.97,4.85,0.72
205199,316,21,3,4.93,4.97,4.97,4.96,4.94,4.93,4.92,2.21
209373,68,30,4,4.79,4.87,4.84,4.81,4.84,4.93,4.79,0.49
211444,171,25,4,4.94,4.97,4.99,4.99,4.95,4.78,4.93,1.21
217674,286,39,2,4.84,4.83,4.78,4.88,4.89,4.96,4.73,2.03
219303,269,49,8,4.52,4.66,4.56,4.72,4.73,4.88,4.55,1.9
225489,31,0,0,4.72,4.9,4.86,5.0,4.93,4.83,4.83,0.24
229664,525,16,1,4.28,4.46,4.19,4.52,4.63,4.48,4.36,3.7
250858,5,0,0,5.0,3.5,4.0,4.5,5.0,3.5,4.5,0.04
256004,167,20,1,4.6,4.62,4.71,4.84,4.81,4.97,4.53,1.22
258713,22,14,3,4.86,4.86,4.86,4.95,4.9,4.81,4.71,0.18
260656,38,1,0,4.41,4.71,4.09,4.91,4.86,4.49,4.43,0.28
260951,136,0,0,4.69,4.77,4.88,4.88,4.83,4.24,4.72,1.0
261878,582,55,5,4.91,4.92,4.74,4.99,4.98,4.96,4.82,4.13
263748,124,6,0,4.76,4.81,4.95,4.91,4.9,4.35,4.74,0.94
268275,65,4,0,4.73,4.84,4.88,4.85,4.85,4.8,4.71,0.47
272279,192,25,1,4.72,4.86,4.77,4.84,4.91,4.7,4.74,1.38
280733,53,10,2,4.77,4.85,4.81,4.83,4.79,4.77,4.66,0.44
281224,135,10,1,4.51,4.66,4.78,4.58,4.75,4.95,4.49,1.65
287660,11,0,0,5.0,4.8,4.9,4.9,5.0,4.7,4.9,0.08
294520,44,9,3,4.56,4.84,4.33,4.93,4.91,5.0,4.3,0.44
294529,91,16,1,4.45,4.52,4.37,4.8,4.7,4.92,4.49,0.66
297017,69,0,0,4.25,4.34,4.44,4.54,4.49,4.9,4.15,0.76
310333,146,12,0,4.64,4.78,4.75,4.85,4.88,4.84,4.59,1.12
336672,130,46,4,4.78,4.79,4.59,4.81,4.89,4.73,4.7,1.94
336834,49,3,0,4.62,4.77,4.23,4.87,4.79,4.96,4.61,0.36
339144,138,7,1,4.88,4.89,4.97,4.98,4.98,4.81,4.87,1.01
339171,185,11,0,4.88,4.88,4.94,4.89,4.93,4.94,4.87,1.36
341939,178,7,0,4.68,4.71,4.64,4.78,4.79,4.71,4.68,1.3
342095,38,4,0,4.78,4.89,4.92,4.95,4.89,4.76,4.81,0.28
345249,29,1,1,4.39,4.5,4.46,4.71,4.71,4.25,4.25,0.23
347510,43,0,0,4.41,4.5,4.66,4.5,4.5,4.4,4.4,0.32
354838,38,0,0,4.73,4.79,4.24,4.89,4.92,4.89,4.58,0.28
361053,198,32,6,4.57,4.66,4.67,4.88,4.84,4.77,4.54,1.46
363476,517,58,4,4.55,4.54,4.57,4.7,4.79,4.97,4.52,3.8
371532,126,26,2,4.88,4.93,4.74,4.85,4.94,4.98,4.84,0.93
374558,110,10,4,4.36,4.31,4.41,4.65,4.73,4.89,4.38,0.89
375472,148,0,0,4.66,4.65,4.76,4.82,4.71,4.71,4.72,1.13
376379,33,11,1,4.48,4.64,4.45,4.88,4.85,5.0,4.36,0.29
396532,120,1,0,4.86,4.87,4.87,4.97,4.96,4.86,4.84,0.89
397778,58,11,3,4.37,4.42,4.37,4.58,4.47,4.91,4.32,0.47
398450,287,26,1,4.68,4.74,4.64,4.88,4.92,4.91,4.68,2.12
402588,196,27,2,4.54,4.68,4.68,4.73,4.62,4.91,4.58,1.57
404569,77,16,2,4.42,4.42,4.52,4.66,4.57,4.81,4.21,0.76
406341,175,32,2,4.95,4.97,4.86,4.98,4.97,4.93,4.9,1.29
414763,71,17,2,4.61,4.69,4.51,4.8,4.68,4.99,4.37,0.55
415967,152,0,0,4.64,4.7,4.79,4.89,4.89,4.25,4.59,1.12
427407,13,2,0,4.73,4.55,4.91,4.91,4.91,4.91,4.64,0.1
429306,216,19,0,4.82,4.84,4.92,4.87,4.91,4.74,4.74,1.62
429604,7,5,1,5.0,5.0,5.0,5.0,5.0,5.0,4.86,0.06
449218,378,60,6,4.85,4.86,4.96,4.92,4.92,4.94,4.85,2.81
451174,33,21,3,4.71,4.65,4.65,4.84,4.84,5.0,4.87,0.53
456165,10,3,1,5.0,5.0,5.0,5.0,5.0,4.9,4.9,0.14
459303,77,31,4,4.56,4.48,4.61,4.66,4.58,4.94,4.49,0.73
459362,91,22,0,4.54,4.52,4.6,4.62,4.67,4.9,4.36,0.85
460898,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462072,150,38,0,4.93,4.95,4.96,4.95,4.97,4.91,4.87,1.12
468202,289,11,1,4.6,4.77,4.77,4.72,4.73,4.92,4.56,2.15
469231,61,7,2,4.57,4.74,4.78,4.69,4.79,4.97,4.55,0.57
470132,44,4,0,4.75,4.71,4.74,4.9,4.95,4.57,4.67,0.33
471198,50,2,0,4.16,4.26,4.24,4.58,4.58,4.84,4.26,0.48
471328,168,14,3,4.55,4.58,4.59,4.76,4.7,4.86,4.54,1.29
479718,17,0,0,4.4,4.0,4.25,4.88,4.94,4.38,4.56,0.13
482122,21,6,0,4.48,4.62,4.43,4.86,4.81,4.95,4.3,0.2
491070,19,5,0,4.65,4.76,4.67,4.72,4.89,4.78,4.5,0.14
493238,206,1,1,4.63,4.61,4.75,4.84,4.78,4.73,4.59,1.54
497706,220,0,0,4.72,4.81,4.76,4.84,4.9,4.79,4.73,1.68
499911,227,46,4,4.91,4.92,4.91,4.97,4.98,4.89,4.84,1.79
502918,140,31,4,4.84,4.84,4.93,4.92,4.94,4.96,4.84,1.62
506956,553,93,7,4.91,4.93,4.94,4.96,4.97,4.7,4.88,6.19
507614,27,4,0,4.92,4.85,4.85,4.93,5.0,4.96,4.81,0.2
510973,18,9,0,5.0,4.94,4.94,4.94,4.89,5.0,4.89,0.24
514917,27,0,0,4.79,4.73,4.58,4.88,4.96,4.5,4.88,0.21
515008,31,4,0,4.76,4.73,4.57,4.9,4.9,4.43,4.7,0.24
518208,23,4,0,4.57,4.59,4.59,4.64,4.55,4.14,4.36,0.18
521329,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522563,103,6,0,4.68,4.73,4.5,4.79,4.84,4.96,4.65,0.97
524003,498,69,6,4.91,4.93,4.95,4.91,4.96,4.97,4.91,3.83
526162,1,0,0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,0.01
526513,704,92,6,4.72,4.68,4.85,4.81,4.8,4.97,4.7,5.26
531677,589,31,2,4.9,4.92,4.96,4.94,4.97,4.94,4.88,4.52
536574,3,0,0,3.0,3.0,3.0,2.5,4.0,3.0,3.0,0.03
540937,305,31,3,4.46,4.41,4.63,4.79,4.78,4.69,4.4,2.29
548995,167,11,1,4.94,4.95,4.87,4.98,4.95,4.95,4.86,1.29
552183,342,43,3,4.86,4.92,4.96,4.94,4.91,4.98,4.86,2.57
558690,82,7,0,4.62,4.71,4.77,4.93,4.88,4.79,4.65,0.7
560941,34,6,0,4.56,4.56,4.82,4.65,4.62,4.97,4.56,0.29
565152,216,28,3,4.33,4.48,4.5,4.68,4.66,4.68,4.37,1.99
566241,31,0,0,4.85,4.82,4.89,4.96,4.93,4.93,4.86,0.24
568190,195,0,0,4.88,4.91,4.98,4.95,4.95,4.57,4.87,1.53
570158,42,4,1,4.55,4.68,4.46,4.56,4.56,4.8,4.51,0.32
572048,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
