id,host_id,rating,latitude,longitude
6369,13660,4.86,40.45724,-3.67688
21853,83531,4.67,40.40381,-3.7413
24805,346366726,4.8,40.42183,-3.70529
30959,132883,4.25,40.41259,-3.70105
37921,162926,0.0,40.42325,-3.68281
26825,114340,4.75,40.38975,-3.69018
40916,130907,4.55,40.42247,-3.70577
30320,130907,4.69,40.41476,-3.70418
62423,303845,4.46,40.41884,-3.69655
47957,218515,4.78,40.42792,-3.67682
70073,353738,4.26,40.42252,-3.7025
70059,353616,4.52,40.42381,-3.71038
40718,34217435,4.64,40.41969,-3.69736
70310,353738,4.08,40.42252,-3.7025
82481,448981,4.69,40.42342,-3.68123
74352,391014,4.6,40.40864,-3.70884
84719,259229,4.69,40.40866,-3.70374
93100,499977,4.58,40.42378,-3.70248
89954,487095,4.76,40.41358,-3.71353
86042,364585,4.71,40.40939,-3.69812
691344,655088,4.81,40.39992,-3.69537
100411,527760,4.67,40.50044,-3.67032
692358,3540348,4.69,40.36089,-3.69594
398450,2150362,4.68,40.42771,-3.71029
102040,533936,0.0,40.43422,-3.64196
402588,1408525,4.57,40.4149,-3.70331
404569,1408525,4.19,40.42552,-3.70589
406341,2024487,4.88,40.42978,-3.67817
694867,3540348,4.69,40.35701,-3.69643
695909,3021792,4.7,40.4256,-3.70436
414763,1408525,4.38,40.41281,-3.70749
103522,539643,4.78,40.41183,-3.70778
415967,2068619,4.59,40.40827,-3.70049
420039,9934732,4.29,40.42738,-3.70635
696928,3569462,4.05,40.43003,-3.67429
704155,3606346,4.66,40.41389,-3.70461
103541,361930,4.57,40.43815,-3.69764
709208,3648882,4.84,40.41697,-3.70732
710156,3654886,4.8,40.45319,-3.592383
427407,2106353,4.64,40.41155,-3.70146
429306,2134007,4.73,40.43028,-3.70732
114854,361930,4.51,40.4382,-3.69389
429604,2106353,4.8,40.4135,-3.70145
120293,605612,4.72,40.41143,-3.70912
716292,3691303,4.74,40.42616,-3.70263
123864,605612,4.65,40.41001,-3.70704
717313,3698406,4.83,40.41222,-3.71365
449218,2230279,4.84,40.42849,-3.70183
132428,650803,4.84,40.41012,-3.69709
136058,666482,4.93,40.35761,-3.69723
451174,2240898,4.9,40.434551,-3.698387
456165,617086,5.0,40.39032,-3.71382
459303,1408525,4.5,40.42548,-3.7042
153798,739627,4.88,40.46088,-3.64679
459362,1408525,4.36,40.41592,-3.70177
460898,2290984,0.0,40.48503,-3.69858
721057,1954334,4.8,40.41045,-3.70105
721377,3724500,4.72,40.50069,-3.68994
163429,780107,4.71,40.43765,-3.70408
723088,2555202,4.68,40.42536,-3.69887
167183,796746,4.84,40.45575,-3.64912
724700,3746437,4.43,40.4107,-3.70253
462072,2296476,4.86,40.40869,-3.71073
170750,814490,4.59,40.42386,-3.70489
468202,2322563,4.56,40.42123,-3.70133
469231,1408525,4.51,40.41941,-3.70823
470132,2332600,4.65,40.41018,-3.70164
471198,1408525,4.26,40.42359,-3.70537
471328,1408525,4.51,40.41628,-3.70364
727588,498646,4.15,40.39368,-3.66975
728978,1566057,4.78,40.41212,-3.69983
479718,2376402,4.56,40.43202,-3.60353
482122,1408525,4.2,40.43271,-3.70156
491070,2427722,4.47,40.42885,-3.70479
730347,3797913,4.77,40.41534,-3.70757
177523,596469,4.48,40.42855453491211,-3.7027840614318848
730502,3797913,4.79,40.41826,-3.71244
497706,2456671,4.73,40.40808,-3.68338
196197,852616,4.63,40.41235,-3.70967
499911,2467212,4.83,40.41234,-3.70186
502918,2480913,4.82,40.41155,-3.69492
733365,3821608,4.89,40.43653,-3.70421
199201,749212,4.81,40.41319,-3.7024
734053,3825783,5.0,40.41731,-3.6731
745664,3591751,4.82,40.40449,-3.70463
506956,1932547,4.88,40.44117,-3.64841
507614,2501740,4.8,40.42323,-3.70434
510973,2517520,4.93,40.41412,-3.70057
514917,83531,4.88,40.40445,-3.7398
200828,75944,0.0,40.43201,-3.68358
205199,1008659,4.92,40.42116,-3.70384
515008,2536524,4.71,40.42297,-3.61193
518208,2536524,4.43,40.42756,-3.61577
518511,1150912,4.43,40.41012,-3.70484
747873,1625657,4.88,40.42329,-3.70833
748854,1888816,4.62,40.40333,-3.7025
209373,1031664,4.9,40.41126,-3.70347
521329,2563986,0.0,40.45591,-3.68773
211444,1090760,4.92,40.45959,-3.64699
522563,1652272,4.64,40.41152,-3.70991
749957,124972,4.88,40.42796,-3.72054
750257,130907,4.26,40.42057,-3.70486
217674,1732442,4.72,40.41538,-3.70741
751527,3951702,4.92,40.42482,-3.71084
524003,2576044,4.92,40.41327,-3.70223
526162,2249249,4.0,40.4057,-3.67605
219303,499977,4.49,40.42377,-3.70241
526513,1134989,4.71,40.41604,-3.70834
751530,3898452,4.85,40.41429,-3.70649
221017,1146227,4.24,40.4131,-3.70086
752424,216570,4.63,40.40687,-3.70917
225462,1174648,4.62,40.41366,-3.69788
752515,3438657,4.76,40.41233,-3.70641
752883,3960415,0.0,40.40788,-3.73147
531677,2613319,4.88,40.42286,-3.70236
536574,447969,3.0,40.39317,-3.69358
537234,2638528,4.54,40.40108,-3.69113
540937,2659070,4.42,40.40954,-3.70096
225489,1172225,4.83,40.43595,-3.70706
229664,1130651,4.37,40.4078,-3.70085
541406,2661721,0.0,40.46905,-3.66637
543835,1402142,4.88,40.42301,-3.69889
754678,3961468,4.78,40.41382,-3.69514
755587,3898452,4.9,40.41497,-3.70853
256004,1732442,4.52,40.41428,-3.70767
756707,3983613,4.82,40.41805,-3.70848
544736,1284868,4.74,40.45841,-3.67598
258713,1359945,4.57,40.39627,-3.69926
548995,2673517,4.85,40.419,-3.67774
552183,2713304,4.85,40.41309,-3.69775
758670,2536524,4.67,40.4267,-3.61631
760482,4008643,4.68,40.45989,-3.69472
761098,4012305,4.47,40.44655,-3.58128
558690,2747005,4.68,40.42274,-3.66972
260656,1367452,4.43,40.40743,-3.70114
560941,596469,4.65,40.42297,-3.69095
761159,4012290,4.92,40.41399,-3.70776
260951,1351865,4.72,40.47189,-3.62966
565152,2779192,4.36,40.40683,-3.69932
763214,4032439,4.74,40.40789,-3.71404
261878,1373873,4.81,40.42269,-3.70378
766160,4036376,4.52,40.41189,-3.70107
568190,2795931,4.87,40.41016,-3.72863
570158,2347489,4.58,40.447,-3.70291
263748,1351865,4.74,40.47142,-3.62881
572048,1689652,0.0,40.42993,-3.70339
268275,1406073,4.71,40.412682,-3.702548
576487,2312712,4.66,40.4739,-3.57583
578731,2847013,4.7,40.42551,-3.70812
768311,4053105,4.74,40.41166,-3.71007
772646,3606346,4.67,40.41403,-3.70453
272279,1425071,4.73,40.4093,-3.70884
777913,124972,4.83,40.42943,-3.71594
588382,2902269,4.5,40.41151,-3.70257
780397,4068975,4.32,40.40115,-3.69657
280733,596469,4.69,40.42457,-3.70802
281224,1466005,4.48,40.41685,-3.70882
780684,2057313,4.22,40.42555,-3.70379
780743,2057313,4.06,40.42398,-3.70451
588518,2267893,4.75,40.4158,-3.70962
287660,1496188,4.9,40.42683,-3.71108
289555,901218,4.55,40.41758,-3.69631
590710,2913511,4.84,40.36725,-3.68875
594298,153391,4.66,40.41906,-3.70627
782797,4128029,4.9,40.42459,-3.70714
294520,1522694,4.19,40.42226,-3.69959
783647,4132185,4.9,40.47731,-3.66659
595055,2940355,4.58,40.39523,-3.7132
294529,1522694,4.54,40.42226,-3.69959
297017,4677030,4.15,40.41414,-3.69419
598771,2678039,4.8,40.40661,-3.6952
