id,property_type,room_type,host_id,bedroom,beds,bathroom
6369,Private room in rental unit,Private room,13660,1.0,1.0,1 private bath
21853,Private room in rental unit,Private room,83531,1.0,1.0,1 bath
24805,Entire rental unit,Entire home/apt,346366726,1.0,1.0,1 bath
26825,Private room in home,Private room,114340,1.0,1.0,1 private bath
363476,Private room in rental unit,Private room,1836617,1.0,1.0,1.5 shared baths
30320,Entire rental unit,Entire home/apt,130907,1.0,2.0,1 bath
30478,Private room in rental unit,Private room,130502,1.0,1.0,1 bath
30959,Entire loft,Entire home/apt,132883,1.0,1.0,1 bath
40718,Entire rental unit,Entire home/apt,34217435,1.0,2.0,1 bath
371532,Entire rental unit,Entire home/apt,1871034,1.0,2.0,1 bath
40916,Entire rental unit,Entire home/apt,130907,1.0,3.0,1 bath
47957,Entire condo,Entire home/apt,218515,2.0,2.0,2 baths
375472,Private room in bed and breakfast,Private room,1888816,1.0,1.0,1.5 shared baths
62423,Private room in rental unit,Private room,303845,1.0,2.0,1.5 shared baths
376379,Entire loft,Entire home/apt,1892467,1.0,1.0,1 bath
70073,Entire rental unit,Entire home/apt,353738,1.0,1.0,1 bath
70310,Entire rental unit,Entire home/apt,353738,1.0,2.0,1 bath
74352,Entire rental unit,Entire home/apt,391014,1.0,2.0,1 bath
396532,Entire rental unit,Entire home/apt,1981346,1.0,2.0,1 bath
397778,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
82481,Entire rental unit,Entire home/apt,448981,1.0,1.0,1 bath
84719,Entire rental unit,Entire home/apt,259229,1.0,1.0,1 bath
398450,Entire rental unit,Entire home/apt,2150362,1.0,2.0,1 bath
86042,Entire rental unit,Entire home/apt,364585,3.0,3.0,1 bath
402588,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
404569,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
89954,Entire loft,Entire home/apt,487095,2.0,3.0,1 bath
406341,Private room in rental unit,Private room,2024487,1.0,2.0,1.5 baths
414763,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
415967,Entire rental unit,Entire home/apt,2068619,1.0,1.0,1 bath
93100,Private room in rental unit,Private room,499977,1.0,2.0,2 baths
420039,Entire rental unit,Entire home/apt,9934732,1.0,1.0,1 bath
100411,Entire rental unit,Entire home/apt,527760,1.0,1.0,1 bath
102040,Private room in rental unit,Private room,533936,1.0,1.0,1 shared bath
427407,Entire rental unit,Entire home/apt,2106353,1.0,2.0,1.5 baths
103541,Entire rental unit,Entire home/apt,361930,2.0,3.0,2 baths
429306,Entire condo,Entire home/apt,2134007,2.0,4.0,2 baths
114854,Entire rental unit,Entire home/apt,361930,1.0,2.0,1 bath
429604,Entire rental unit,Entire home/apt,2106353,1.0,2.0,1.5 baths
120293,Private room in rental unit,Private room,605612,1.0,2.0,1 shared bath
449218,Entire rental unit,Entire home/apt,2230279,1.0,1.0,1 bath
123864,Entire rental unit,Entire home/apt,605612,1.0,2.0,1 bath
451174,Private room in casa particular,Private room,2240898,1.0,1.0,1.5 baths
132428,Private room in rental unit,Private room,650803,1.0,1.0,1 bath
456165,Private room in guest suite,Private room,617086,1.0,1.0,1 shared bath
459303,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
136058,Private room in rental unit,Private room,666482,1.0,1.0,1 shared bath
459362,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
460898,Private room in rental unit,Private room,2290984,3.0,3.0,2 shared baths
146568,Private room in home,Private room,708731,1.0,1.0,1 bath
150123,Entire rental unit,Entire home/apt,723539,1.0,1.0,1 bath
462072,Entire rental unit,Entire home/apt,2296476,2.0,4.0,1 bath
153798,Entire rental unit,Entire home/apt,739627,2.0,3.0,1 bath
463246,Entire rental unit,Entire home/apt,2302267,1.0,1.0,1 bath
163429,Entire loft,Entire home/apt,780107,1.0,2.0,1 bath
468202,Entire rental unit,Entire home/apt,2322563,1.0,1.0,1.5 baths
167183,Private room in chalet,Private room,796746,1.0,1.0,1 private bath
469231,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
170750,Entire rental unit,Entire home/apt,814490,2.0,4.0,1 bath
470132,Entire rental unit,Entire home/apt,2332600,1.0,2.0,1 bath
471198,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
471328,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
177523,Entire rental unit,Entire home/apt,596469,1.0,1.0,1 bath
