id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
6369,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,8,38,68,98
21853,0.99,4,40,4,4,40,40,4.0,40.0,t,0,8,38,313
24805,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,12,41,71,161
26825,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,2,3,10,285
29044,0.99,10,365,7,10,365,365,10.0,365.0,t,6,6,8,23
30320,0.99,5,180,5,5,180,180,5.0,180.0,t,0,0,0,102
30959,0.99,3,730,3,3,730,730,3.0,730.0,t,0,0,0,0
40718,0.99,2,500,2,2,1125,1125,2.0,1125.0,t,3,25,45,290
40916,0.99,5,180,5,5,180,180,5.0,180.0,t,0,0,0,133
47957,0.99,10,999,10,10,999,999,10.0,999.0,t,4,4,12,197
62423,0.99,1,15,1,1,1125,1125,1.0,1125.0,t,2,26,55,330
70073,0.99,28,360,28,28,1125,1125,28.0,1125.0,t,0,0,4,279
70310,0.99,28,360,28,28,1125,1125,28.0,1125.0,t,0,13,43,318
74352,0.99,8,1125,8,8,1125,1125,8.0,1125.0,t,0,0,0,160
82481,0.99,3,365,3,3,365,365,3.0,365.0,t,0,0,0,0
84719,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,3,29,52,52
86042,0.99,4,365,2,4,365,365,4.0,365.0,t,25,55,82,172
89954,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,9,39,69,344
93100,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,2,9,21,234
100411,0.99,2,30,2,2,30,30,2.0,30.0,t,0,0,0,0
102040,0.99,3,90,3,3,90,90,3.0,90.0,t,0,0,27,27
103541,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,9,31,49,285
114854,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,3,11,34,209
120293,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,9,33,63,338
123864,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,16,29,59,140
132428,0.99,3,730,3,3,730,730,3.0,730.0,t,11,40,70,345
136058,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
163429,0.99,90,365,90,90,365,365,90.0,365.0,t,0,8,38,38
167183,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,16,22,23,288
170750,0.99,90,200,90,90,200,200,90.0,200.0,t,21,44,69,299
177523,0.99,1,365,1,30,31,1125,26.3,139.9,t,30,60,90,365
196197,0.99,3,1125,1,3,1125,1125,3.0,1125.0,t,2,7,24,233
199201,0.99,3,30,3,3,30,30,3.0,30.0,t,3,5,5,8
200828,0.99,14,100,14,14,100,100,14.0,100.0,t,30,60,90,365
204570,0.99,6,365,6,6,1125,1125,6.0,1125.0,t,3,30,60,77
205199,0.99,30,365,1,30,365,365,27.5,365.0,t,5,35,65,333
209373,0.99,1,60,1,1,1125,1125,1.0,1125.0,t,4,5,6,187
211444,0.99,2,365,2,2,365,365,2.0,365.0,t,11,25,48,292
217674,0.99,3,300,2,4,300,300,2.9,300.0,t,3,14,40,295
219303,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,8,22,46,293
225489,0.99,25,365,25,25,365,365,25.0,365.0,t,0,0,0,0
229664,0.99,10,1125,4,10,1125,1125,9.9,1125.0,t,0,0,6,266
250858,0.99,30,365,30,30,365,365,30.0,365.0,t,0,29,59,334
256004,0.99,3,300,2,4,300,300,2.9,300.0,t,8,24,54,329
258713,0.99,4,30,4,4,30,30,4.0,30.0,t,11,41,71,161
260656,0.99,14,365,14,14,365,365,14.0,365.0,t,0,9,39,314
260951,0.99,2,390,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
261878,0.99,1,1125,1,2,1125,1125,1.3,1125.0,t,11,41,64,154
263748,0.99,2,120,2,2,1125,1125,2.0,1125.0,t,18,48,78,163
268275,0.99,3,365,1,3,1125,1125,2.9,1125.0,t,3,10,15,188
272279,0.99,5,45,1,5,365,365,4.8,365.0,t,8,17,27,27
280733,0.99,1,365,1,20,1,1125,4.7,278.1,t,23,40,70,323
281224,0.99,2,1000,2,3,1125,1125,2.6,1125.0,t,14,41,71,346
287660,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0
294520,0.99,3,90,3,3,1125,1125,3.0,1125.0,t,29,44,70,345
294529,0.99,3,90,3,3,90,90,3.0,90.0,t,21,36,62,337
297017,0.99,1,365,1,4,1125,1125,1.3,1125.0,t,0,0,0,0
310333,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,0,7,27,249
336672,0.99,2,35,2,3,1125,1125,2.3,1125.0,t,3,20,50,50
336834,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,0,0,14,235
339144,0.99,25,1125,25,25,1125,1125,25.0,1125.0,t,9,9,21,190
339171,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,7,12,20,133
341939,0.99,25,100,25,25,100,100,25.0,100.0,t,1,1,9,38
342095,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,8,22,49,271
345249,0.99,31,333,31,31,333,333,31.0,333.0,t,12,42,72,347
347510,0.99,90,660,38,90,660,660,80.2,660.0,t,0,0,0,129
354838,0.99,20,300,20,20,300,300,20.0,300.0,t,0,0,0,0
361053,0.99,2,365,2,2,365,365,2.0,365.0,t,4,17,33,70
363476,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,2,7,13,205
371532,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,1,7,161
374558,0.99,3,180,1,7,180,180,2.6,180.0,t,7,32,55,55
375472,0.99,6,365,6,6,365,365,6.0,365.0,t,0,0,0,0
376379,0.99,10,1125,6,10,1125,1125,10.0,1125.0,t,7,17,35,259
396532,0.99,5,18,5,5,18,18,5.0,18.0,t,0,0,7,282
397778,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,6,21,37,261
398450,0.99,3,90,3,5,90,90,3.2,90.0,t,2,10,17,231
402588,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,1,14,14,256
404569,0.99,3,365,2,7,30,1125,3.1,1107.7,t,3,13,38,304
406341,0.99,3,180,3,3,180,180,3.0,180.0,t,1,7,14,219
414763,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,3,15,26,252
415967,0.99,2,30,2,2,30,30,2.0,30.0,t,6,27,46,127
427407,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,12,26,26,247
429306,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,3,3,3,92
429604,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,10,28,28,249
449218,0.99,4,1125,2,10,4,1125,4.1,1104.7,t,2,5,9,237
451174,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,12,42,72,72
456165,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,4,4,4,4
459303,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,4,13,20,241
459362,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,3,21,40,272
460898,0.99,30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,0,0
462072,0.99,3,1124,1,3,2,1125,3.0,1100.0,t,5,11,26,90
468202,0.99,30,1125,6,30,1125,1125,28.6,1125.0,t,1,15,45,227
469231,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,7,21,39,293
470132,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,0,6,12,147
471198,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,6,29,59,301
471328,0.99,3,365,2,7,30,1125,3.0,1112.6,t,4,21,37,278
479718,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,29,59,89,89
482122,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,13,43,314
491070,0.99,60,1125,60,60,1125,1125,60.0,1125.0,t,0,30,60,335
493238,0.99,2,180,2,2,180,180,2.0,180.0,t,13,13,13,234
497706,0.99,1,365,1,2,365,365,1.3,365.0,t,0,1,1,1
499911,0.99,4,1125,3,4,1125,1125,4.0,1125.0,t,4,11,14,201
502918,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,8,8,9,262
506956,0.99,1,20,1,1,1125,1125,1.0,1125.0,t,12,35,65,65
507614,0.99,60,1124,60,60,1124,1124,60.0,1124.0,t,3,30,52,221
510973,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,30,60,90,365
514917,0.99,4,40,4,4,40,40,4.0,40.0,t,0,8,38,313
