id,host_id,rating,latitude,longitude
6369,13660,4.84,40.45724,-3.67688
336672,1716726,4.76,40.39516,-3.69309
21853,83531,4.67,40.40381,-3.7413
336834,1713427,4.6,40.42242,-3.69562
23001,82175,5.0,40.3884,-3.69511
336869,6365055,4.9,40.41593,-3.70602
337292,1714866,5.0,40.44663,-3.67625
24805,346366726,4.78,40.42183,-3.70529
26825,114340,4.74,40.38975,-3.69018
339144,1721158,4.89,40.42838,-3.70345
339171,1722284,4.86,40.41285,-3.69553
341939,1694537,4.7,40.41037,-3.70018
28200,82175,4.5,40.3886,-3.69492
30959,132883,4.25,40.41259,-3.70105
342095,1703448,4.82,40.41015,-3.69797
40718,34217435,4.68,40.41969,-3.69736
342557,1738288,4.76,40.45005,-3.67569
47957,218515,4.79,40.42792,-3.67682
342670,1738846,4.82,40.40501,-3.69626
62423,303845,4.47,40.41884,-3.69655
345249,1751133,4.22,40.47148,-3.68946
70059,353616,4.5,40.42381,-3.71038
70073,353738,4.2,40.42252,-3.7025
354838,1496188,4.58,40.4249,-3.7097
70310,353738,4.04,40.42252,-3.7025
74352,391014,4.6,40.40864,-3.70884
361053,1729503,4.55,40.40988,-3.67503
82481,448981,4.69,40.42342,-3.68123
84719,259229,4.69,40.40866,-3.70374
86042,364585,4.69,40.40939,-3.69812
363476,1836617,4.51,40.41676,-3.70682
89954,487095,4.75,40.41358,-3.71353
371532,1871034,4.82,40.41944,-3.70945
92920,495849,4.84,40.42491,-3.69552
375472,1888816,4.72,40.40334,-3.70254
376379,1892467,4.36,40.41115,-3.69673
93100,499977,4.58,40.42378,-3.70248
396532,1981346,4.84,40.41959,-3.70373
100411,527760,4.67,40.50044,-3.67032
102040,533936,0.0,40.43422,-3.64196
397778,1408525,4.27,40.41506,-3.7029
102194,534515,4.4,40.42318,-3.69748
398450,2150362,4.69,40.42771,-3.71029
103541,361930,4.57,40.43815,-3.69764
114854,361930,4.52,40.4382,-3.69389
402588,1408525,4.56,40.4149,-3.70331
120293,605612,4.73,40.41143,-3.70912
404569,1408525,4.11,40.42552,-3.70589
123864,605612,4.64,40.41001,-3.70704
406341,2024487,4.89,40.42978,-3.67817
132428,650803,4.93,40.41012,-3.69709
410699,2044655,4.7,40.41737,-3.70015
414763,1408525,4.3,40.41281,-3.70749
136058,666482,4.92,40.35761,-3.69723
150123,723539,4.84,40.40639,-3.70048
415967,2068619,4.59,40.40827,-3.70049
420039,9934732,4.28,40.42738,-3.70635
153798,739627,4.88,40.46088,-3.64679
427407,2106353,4.56,40.41155,-3.70146
163429,780107,4.71,40.43765,-3.70408
429306,2134007,4.73,40.43028,-3.70732
167183,796746,4.94,40.45575,-3.64912
170750,814490,4.59,40.42386,-3.70489
429604,2106353,4.5,40.4135,-3.70145
177523,596469,4.5,40.42876,-3.70379
196197,852616,4.62,40.41235,-3.70967
434107,2157770,4.33,40.46642,-3.69689
199201,749212,4.8,40.41319,-3.7024
439715,2184106,4.64,40.42224,-3.69776
449218,2230279,4.84,40.42849,-3.70183
200828,75944,0.0,40.43201,-3.68358
204570,1004721,4.85,40.4152,-3.69668
451174,2240898,5.0,40.434551,-3.698387
456165,617086,5.0,40.39032,-3.71382
459303,1408525,4.49,40.42548,-3.7042
205199,1008659,4.91,40.42116,-3.70384
459362,1408525,4.33,40.41592,-3.70177
208504,1014005,5.0,40.42277,-3.71046
460898,2290984,0.0,40.48503,-3.69858
209373,1031664,4.89,40.41126,-3.70347
462072,2296476,4.87,40.40869,-3.71073
211444,1090760,4.92,40.45959,-3.64699
217674,1732442,4.7,40.41538,-3.70741
463246,2302267,4.82,40.41419,-3.71113
219303,499977,4.46,40.42377,-3.70241
468202,2322563,4.57,40.42123,-3.70133
469231,1408525,4.49,40.41941,-3.70823
225462,1174648,4.59,40.41366,-3.69788
225489,1172225,4.83,40.43595,-3.70706
229664,1130651,4.37,40.4078,-3.70085
470132,2332600,4.63,40.41018,-3.70164
471198,1408525,4.25,40.42359,-3.70537
471328,1408525,4.53,40.41628,-3.70364
231861,1212528,0.0,40.43699,-3.70037
250858,630482,4.5,40.39231,-3.72359
473112,2346162,4.6,40.42349,-3.70024
256004,1732442,4.5,40.41428,-3.70767
479718,2376402,4.56,40.43202,-3.60353
482122,1408525,4.14,40.43271,-3.70156
260656,1367452,4.5,40.40743,-3.70114
491070,2427722,4.38,40.42885,-3.70479
260951,1351865,4.72,40.47189,-3.62966
261878,1373873,4.8,40.42269,-3.70378
263748,1351865,4.75,40.47142,-3.62881
