id,host_id,rating,latitude,longitude
6369,13660,4.85,40.45724,-3.67688
21853,83531,4.67,40.40381,-3.7413
24805,346366726,4.83,40.42183,-3.70529
26825,114340,4.74,40.38975,-3.69018
363476,1836617,4.52,40.41676,-3.70682
30320,130907,4.71,40.41476,-3.70418
30478,130502,4.33,40.40949,-3.70477
30959,132883,4.25,40.41259,-3.70105
40718,34217435,4.68,40.41969,-3.69736
371532,1871034,4.82,40.41944,-3.70945
40916,130907,4.55,40.42247,-3.70577
47957,218515,4.78,40.42792,-3.67682
375472,1888816,4.72,40.40334,-3.70254
62423,303845,4.46,40.41884,-3.69655
376379,1892467,4.38,40.41115,-3.69673
70073,353738,4.26,40.42252,-3.7025
70310,353738,4.08,40.42252,-3.7025
74352,391014,4.6,40.40864,-3.70884
396532,1981346,4.84,40.41959,-3.70373
397778,1408525,4.26,40.41506,-3.7029
82481,448981,4.69,40.42342,-3.68123
84719,259229,4.69,40.40866,-3.70374
398450,2150362,4.68,40.42771,-3.71029
86042,364585,4.7,40.40939,-3.69812
402588,1408525,4.56,40.4149,-3.70331
404569,1408525,4.14,40.42552,-3.70589
89954,487095,4.76,40.41358,-3.71353
406341,2024487,4.89,40.42978,-3.67817
414763,1408525,4.36,40.41281,-3.70749
415967,2068619,4.59,40.40827,-3.70049
93100,499977,4.58,40.42378,-3.70248
420039,9934732,4.29,40.42738,-3.70635
100411,527760,4.67,40.50044,-3.67032
102040,533936,0.0,40.43422,-3.64196
427407,2106353,4.6,40.41155,-3.70146
103541,361930,4.58,40.43815,-3.69764
429306,2134007,4.73,40.43028,-3.70732
114854,361930,4.52,40.4382,-3.69389
429604,2106353,4.67,40.4135,-3.70145
120293,605612,4.73,40.41143,-3.70912
449218,2230279,4.84,40.42849,-3.70183
123864,605612,4.64,40.41001,-3.70704
451174,2240898,4.93,40.434551,-3.698387
132428,650803,4.9,40.41012,-3.69709
456165,617086,5.0,40.39032,-3.71382
459303,1408525,4.52,40.42548,-3.7042
136058,666482,4.92,40.35761,-3.69723
459362,1408525,4.32,40.41592,-3.70177
460898,2290984,0.0,40.48503,-3.69858
146568,708731,4.0,40.40282,-3.70515
150123,723539,4.84,40.40639,-3.70048
462072,2296476,4.88,40.40869,-3.71073
153798,739627,4.88,40.46088,-3.64679
463246,2302267,4.82,40.41419,-3.71113
163429,780107,4.71,40.43765,-3.70408
468202,2322563,4.56,40.42123,-3.70133
167183,796746,4.91,40.45575,-3.64912
469231,1408525,4.51,40.41941,-3.70823
170750,814490,4.59,40.42386,-3.70489
470132,2332600,4.64,40.41018,-3.70164
471198,1408525,4.27,40.42359,-3.70537
