host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
37962660,Purificación,Desconocido,1.0,1.0
36702547,Maria,100%,1.0,1.0
39102439,Juan,100%,2.0,2.0
40604479,Alberto,Desconocido,2.0,2.0
27488592,David,Desconocido,1.0,1.0
38092822,Igor,Desconocido,1.0,1.0
38109437,Irene,100%,1.0,1.0
18267995,Alex,90%,2.0,2.0
6423051,Victoria,Desconocido,3.0,3.0
40620794,Carmen,100%,3.0,3.0
38186336,Rens,Desconocido,1.0,1.0
2932449,Riccardo,Desconocido,1.0,1.0
23687124,Javier,100%,1.0,1.0
40635332,Dan,100%,1.0,1.0
27723165,Laura,Desconocido,1.0,1.0
38319548,Adan,100%,1.0,1.0
38327906,Saray,Desconocido,2.0,2.0
19227342,Gabriel,Desconocido,2.0,2.0
38358846,Juan Pablo,Desconocido,1.0,1.0
40669866,Eduardo,Desconocido,2.0,2.0
14239786,Sergio,Desconocido,1.0,1.0
3053198,Juliana,Desconocido,2.0,2.0
25122859,Maria,Desconocido,2.0,2.0
25948983,Esteban,Desconocido,1.0,1.0
39547828,Valgnei,Desconocido,1.0,1.0
40847316,Erin Corine,Desconocido,1.0,1.0
37823625,Clara,100%,1.0,1.0
38426919,Marian,Desconocido,1.0,1.0
677895,Leticia,Desconocido,1.0,1.0
38326838,Lourdes,90%,1.0,1.0
38476638,Olga,Desconocido,1.0,1.0
38489875,Antonio,Desconocido,1.0,1.0
5976605,Sole,Desconocido,1.0,1.0
40870178,Ángel,100%,1.0,1.0
2207264,Jesús,100%,3.0,3.0
36434699,Alejandra,Desconocido,1.0,1.0
38574593,Flo,Desconocido,1.0,1.0
14034758,Yolanda,100%,3.0,3.0
40957790,Alejandra,100%,2.0,2.0
35509766,Fabri&Alicia,Desconocido,2.0,2.0
38760121,Esther,Desconocido,1.0,1.0
38765097,Shelton,100%,17.0,17.0
4760483,Sergio,100%,3.0,3.0
22480941,Natalia,Desconocido,1.0,1.0
38908634,Loreto,Desconocido,1.0,1.0
41130999,Joanna,100%,1.0,1.0
26495244,Alexis,Desconocido,1.0,1.0
37889820,Jay,Desconocido,3.0,3.0
38935659,Javier,100%,1.0,1.0
38944850,Alessandro,100%,2.0,2.0
41092861,Hevert,100%,1.0,1.0
7976340,Pilar,100%,2.0,2.0
21093815,Julia,Desconocido,1.0,1.0
6015469,Isabel Y Ruth,100%,1.0,1.0
39035490,Gabor,100%,1.0,1.0
30348413,Enrique H,100%,4.0,4.0
40324020,Orlanda Myrian,100%,1.0,1.0
39173356,Carmen Iris,Desconocido,1.0,1.0
26205011,Roberto,100%,8.0,8.0
15130417,Raquel,100%,2.0,2.0
18260192,Ignacio Y Carmen,100%,3.0,3.0
41372542,Silvia,90%,1.0,1.0
1571660,Pedro,Desconocido,1.0,1.0
41398111,Elena,Desconocido,1.0,1.0
33447642,Igor,100%,1.0,1.0
2873877,Carl,Desconocido,1.0,1.0
41633971,Cesar,100%,4.0,4.0
41415670,Santiago,Desconocido,1.0,1.0
41831324,Giuseppe,Desconocido,1.0,1.0
1300909,Alex,Desconocido,1.0,1.0
1316009,Marta,Desconocido,1.0,1.0
30472095,Yara,Desconocido,1.0,1.0
1811513,Pedro,Desconocido,1.0,1.0
41992541,Dan,90%,2.0,2.0
3068676,Davide,Desconocido,1.0,1.0
10800818,Jessica,Desconocido,1.0,1.0
39362213,Ricardo,84%,36.0,36.0
42199477,Paula,100%,1.0,1.0
42316038,Joel,Desconocido,1.0,1.0
39553794,Tomás,100%,1.0,1.0
38381963,Juan,100%,1.0,1.0
5114074,Jorge,Desconocido,1.0,1.0
21949473,Pelayo,100%,1.0,1.0
1712644,Jorge,60%,0.0,0.0
1706305,Diego Gaspar,Desconocido,1.0,1.0
3835799,Samy,Desconocido,0.0,0.0
42550987,Diego,Desconocido,1.0,1.0
42359977,Mast Qalanadar Sl,Desconocido,4.0,4.0
39705260,Diego,Desconocido,1.0,1.0
18206649,Mercedes,Desconocido,1.0,1.0
39758265,Ego,97%,4.0,4.0
42574276,Esther,100%,1.0,1.0
42476287,Kristian,Desconocido,1.0,1.0
28064249,Almudena,90%,1.0,1.0
21479826,Hector,94%,5.0,5.0
11045636,Daniela,Desconocido,0.0,0.0
18109796,Yudelki,Desconocido,1.0,1.0
23851382,Alfonso,100%,2.0,2.0
39894267,J A,Desconocido,1.0,1.0
21457188,Françoise,100%,2.0,2.0
39472149,Jorge,0%,4.0,4.0
4427207,Anna,Desconocido,1.0,1.0
39958878,María,Desconocido,1.0,1.0
7156044,Kelly,Desconocido,1.0,1.0
200731,Jaime,100%,1.0,1.0
42484564,Paola,100%,3.0,3.0
8710915,Angel,Desconocido,1.0,1.0
17784363,Maria Eugenia,Desconocido,1.0,1.0
6733639,Susana,Desconocido,1.0,1.0
40421634,Laila,93%,1.0,1.0
43124108,Ana,100%,1.0,1.0
43211259,Antonio,100%,1.0,1.0
43255183,Marta,Desconocido,1.0,1.0
4815681,Carmen,100%,0.0,0.0
43259319,Nuria,Desconocido,1.0,1.0
43184738,Petra,100%,2.0,2.0
107929031,Susana,Desconocido,3.0,3.0
45917370,Rodrigo,100%,1.0,1.0
45924302,Maria,54%,1.0,1.0
36628443,Chema,100%,2.0,2.0
21570136,Nelly,Desconocido,1.0,1.0
43424967,Juana,100%,2.0,2.0
3926474,Ana,100%,6.0,6.0
19858798,Sergio,Desconocido,1.0,1.0
18722274,Eva,60%,1.0,1.0
33370443,Gonzalo,100%,4.0,4.0
43605966,秀芬,Desconocido,2.0,2.0
43610052,Alejandro,Desconocido,1.0,1.0
43617356,Laurys,Desconocido,1.0,1.0
46064960,Rafael,100%,5.0,5.0
43653323,Antonio,100%,3.0,3.0
15233548,Luke,100%,1.0,1.0
3836436,Claudia,100%,2.0,2.0
45932441,Aitor,100%,0.0,0.0
45339508,Daisuke,100%,1.0,1.0
20754377,Marián & Juan Gabriel,Desconocido,1.0,1.0
46228072,Paula,70%,1.0,1.0
32050733,Anita,100%,1.0,1.0
43919337,Ruth Y Sarai,100%,2.0,2.0
8229155,Natalia,Desconocido,1.0,1.0
43988161,Roberto,Desconocido,1.0,1.0
2321467,Diego Lázaro,100%,2.0,2.0
46308055,Leire,Desconocido,1.0,1.0
20740084,Rafa,100%,1.0,1.0
4815394,Ana,100%,3.0,3.0
44034356,Antonia,Desconocido,1.0,1.0
2260846,Sara,Desconocido,1.0,1.0
46442859,Carmela,100%,1.0,1.0
6213248,Ben,Desconocido,4.0,4.0
44720161,Mauricio,Desconocido,2.0,2.0
43940819,Diego,100%,2.0,2.0
46533685,Alicia  Y Juan,100%,2.0,2.0
42748420,Chris,70%,2.0,2.0
46104888,Germán,100%,3.0,3.0
46567593,David,Desconocido,1.0,1.0
7597002,Isabel,100%,1.0,1.0
44107041,Marta,100%,2.0,2.0
46624167,Pedro Pablo,100%,2.0,2.0
44033485,Francisco,Desconocido,1.0,1.0
3569462,Claudia,100%,2.0,2.0
44902886,Angel,Desconocido,1.0,1.0
9360920,La Calandria Villa,100%,7.0,7.0
37415721,Alv,Desconocido,1.0,1.0
46725622,Ghadeer,Desconocido,1.0,1.0
