id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
6369,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,0,10,23,168
21853,0.99,4,40,4,4,40,40,4.0,40.0,t,0,0,0,226
24805,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,6,20,41,126
26825,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,15,39,69,344
30320,0.99,5,180,5,5,180,180,5.0,180.0,t,0,0,0,15
30959,0.99,3,730,3,3,730,730,3.0,730.0,t,0,0,0,0
40718,0.99,2,500,2,2,1125,1125,2.0,1125.0,t,9,21,28,268
40916,0.99,5,180,5,5,180,180,5.0,180.0,t,0,0,0,46
62423,0.99,1,20,1,1,1125,1125,1.0,1125.0,t,4,14,44,319
70073,0.99,28,360,20,28,1125,1125,27.3,1125.0,t,0,8,29,283
70310,0.99,28,360,10,28,1125,1125,27.1,1125.0,t,13,19,42,285
74352,0.99,8,1125,8,8,1125,1125,8.0,1125.0,t,0,0,0,73
82481,0.99,3,365,3,3,365,365,3.0,365.0,t,0,0,0,0
84719,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,12,16,16,16
86042,0.99,4,365,2,4,365,365,4.0,365.0,t,22,52,82,172
89954,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,8,22,45,314
47957,0.99,10,999,10,10,999,999,10.0,999.0,t,2,2,10,264
93100,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,5,8,11,234
100411,0.99,2,30,2,2,30,30,2.0,30.0,t,0,0,0,0
766160,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,14,19,29,232
772646,0.99,1,30,2,3,30,30,2.6,30.0,t,10,26,52,52
102040,0.99,3,90,3,3,90,90,3.0,90.0,t,10,39,69,69
777913,0.99,11,365,8,11,365,365,10.9,365.0,t,2,3,5,93
103541,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,0,5,13,233
780397,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,1,2,2,2
515008,0.99,5,1000,4,5,1125,1125,4.9,1125.0,t,1,1,1,74
780684,0.99,2,1120,2,2,1120,1120,2.0,1120.0,t,19,49,79,354
518208,0.99,5,1000,5,5,1125,1125,5.0,1125.0,t,1,1,12,287
521329,0.99,6,365,6,6,365,365,6.0,365.0,t,0,4,34,309
114854,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,4,12,12,246
780743,0.99,2,1124,2,2,1124,1124,2.0,1124.0,t,4,34,64,339
120293,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,14,37,61,336
783647,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,13,30,42,311
123864,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,13,28,48,131
132428,0.99,3,730,3,3,730,730,3.0,730.0,t,16,46,76,351
522563,0.99,4,60,2,4,60,60,4.0,60.0,t,12,42,72,72
793618,0.99,1,1125,1,3,1125,1125,2.9,1125.0,t,9,27,32,260
793622,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,0,0,0,42
524003,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,5,10,20,220
526162,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
136058,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
797030,0.99,4,31,4,4,31,31,4.0,31.0,t,4,5,6,48
804681,0.99,60,61,60,60,61,61,60.0,61.0,t,30,60,90,365
153798,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,29,59,89,364
163429,0.99,90,365,90,90,365,365,90.0,365.0,t,0,0,0,226
526513,0.99,2,330,2,3,1125,1125,2.1,1125.0,t,1,3,9,73
814586,0.99,1,1125,2,5,1125,1125,4.7,1125.0,t,13,41,71,341
531677,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,3,5,5,13
536574,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,0
167183,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,21,51,81,356
814647,0.99,90,1125,90,90,1125,1125,90.0,1125.0,t,30,60,90,365
170750,0.99,90,200,90,90,200,200,90.0,200.0,t,17,37,63,272
540937,0.99,2,90,1,3,1125,1125,2.4,1125.0,t,4,5,16,88
541406,0.99,5,14,5,5,14,14,5.0,14.0,t,0,0,0,0
543835,0.99,2,30,2,2,30,30,2.0,30.0,t,30,60,90,365
814731,0.99,360,1125,360,360,1125,1125,360.0,1125.0,t,14,27,47,294
544736,0.99,3,365,3,3,365,365,3.0,365.0,t,0,0,0,215
548995,0.99,6,30,6,6,30,30,6.0,30.0,t,6,7,7,192
177523,0.99,1,365,1,30,31,365,27.6,36.3,t,4,34,64,339
814870,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,5,201
552183,0.99,3,15,3,3,15,15,3.0,15.0,t,4,4,27,302
815818,0.99,4,60,1,6,60,99,2.1,89.2,t,5,20,38,38
817184,0.99,2,366,1,2,366,366,2.0,366.0,t,9,19,28,279
558690,0.99,14,330,14,14,1125,1125,14.0,1125.0,t,5,21,44,135
560941,0.99,1,365,1,13,5,365,12.0,49.8,t,23,53,83,358
196197,0.99,3,1125,1,3,1125,1125,3.0,1125.0,t,4,4,8,261
199201,0.99,3,30,3,3,30,30,3.0,30.0,t,1,2,9,21
817848,0.99,7,90,7,7,1125,1125,7.0,1125.0,t,6,11,12,86
200828,0.99,14,100,14,14,100,100,14.0,100.0,t,30,60,90,365
821860,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,8,11,14,217
565152,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,4,5,10,82
833871,0.99,2,360,1,2,360,360,2.0,360.0,t,2,12,12,285
566241,0.99,45,1125,45,45,1125,1125,45.0,1125.0,t,0,0,0,238
204570,0.99,4,365,4,4,1125,1125,4.0,1125.0,t,0,0,0,90
834562,0.99,2,1125,1,2,1125,1125,2.0,1125.0,t,7,24,41,58
205199,0.99,7,365,3,7,365,365,6.8,365.0,t,0,7,25,287
568190,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,2
834675,0.99,2,6,2,2,6,6,2.0,6.0,t,29,59,89,89
570158,0.99,6,1125,6,6,1125,1125,6.0,1125.0,t,3,4,11,261
209373,0.99,1,60,1,1,1125,1125,1.0,1125.0,t,0,3,12,218
835333,0.99,1,1125,1,1,798,1125,1.0,991.8,t,6,8,12,204
572048,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,0
838698,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,3,4,7,256
576487,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,7,19,34,110
838712,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,161
840561,0.99,2,80,2,2,80,80,2.0,80.0,t,0,0,0,0
842078,0.99,90,300,90,90,300,300,90.0,300.0,t,0,0,0,227
578731,0.99,2,90,1,2,365,365,2.0,365.0,t,7,13,24,280
588382,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
588518,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,6,10,22,22
844856,0.99,3,1125,2,3,1125,1125,3.0,1125.0,t,18,44,74,154
590710,0.99,4,90,4,4,90,90,4.0,90.0,t,28,50,80,355
594298,0.99,1,1125,1,1,798,1125,1.0,1066.6,t,2,8,20,246
211444,0.99,2,365,2,2,365,365,2.0,365.0,t,22,52,82,357
217674,0.99,3,300,2,4,300,300,3.1,300.0,t,12,24,39,302
846558,0.99,10,65,10,10,1125,1125,10.0,1125.0,t,13,30,30,30
219303,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,10,14,33,299
225489,0.99,25,365,25,25,365,365,25.0,365.0,t,0,0,0,0
229664,0.99,10,1125,1,10,1125,1125,10.0,1125.0,t,4,34,49,260
595055,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,226
847273,0.99,3,365,3,3,365,365,3.0,365.0,t,11,23,41,41
598771,0.99,3,65,3,3,65,65,3.0,65.0,t,0,0,0,73
250858,0.99,30,365,30,30,365,365,30.0,365.0,t,29,59,89,364
848480,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,1,5,194
256004,0.99,3,300,2,4,300,300,3.1,300.0,t,22,43,73,343
851311,0.99,4,365,4,4,365,365,4.0,365.0,t,0,0,0,0
599134,0.99,30,365,30,30,365,365,30.0,365.0,t,27,57,87,87
853804,0.99,7,1000,7,7,1000,1000,7.0,1000.0,t,23,32,62,152
604150,0.99,30,365,30,30,365,365,30.0,365.0,t,0,0,0,134
258713,0.99,4,30,4,4,30,30,4.0,30.0,t,1,15,45,135
862462,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,6,16,27,274
604632,0.99,1,1000,1,1,1125,1125,1.0,1125.0,t,27,57,87,362
862752,0.99,2,6,2,2,6,6,2.0,6.0,t,0,0,0,199
605339,0.99,4,15,4,4,15,15,4.0,15.0,t,24,27,27,27
607548,0.99,2,7,2,2,7,7,2.0,7.0,t,0,0,0,0
260656,0.99,14,365,14,14,365,365,14.0,365.0,t,0,0,0,227
864488,0.99,2,180,2,2,180,180,2.0,180.0,t,1,3,6,191
260951,0.99,2,390,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
610675,0.99,3,9,3,3,9,9,3.0,9.0,t,0,0,0,0
867629,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365
616027,0.99,1,4,1,1,4,4,1.0,4.0,t,0,0,0,0
625566,0.99,2,4,2,2,4,4,2.0,4.0,t,0,0,0,0
261878,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,16,30,49,133
869674,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,73
263748,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,28,33,38,94
628394,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,4,15,26,104
871387,0.99,3,30,2,5,1125,1125,3.4,1125.0,t,6,17,47,47
268275,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,4,7,10,174
874029,0.99,2,60,2,2,60,60,2.0,60.0,t,0,0,0,257
631737,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,0
874273,0.99,2,7,2,2,1125,1125,2.0,1125.0,t,15,28,43,310
643471,0.99,3,26,3,3,26,26,3.0,26.0,t,0,0,0,0
272279,0.99,5,45,1,5,365,365,4.9,365.0,t,1,3,10,22
280733,0.99,1,365,1,5,5,365,4.7,55.3,t,24,44,74,349
644656,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,0,0,12,287
655514,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,1,19,49,324
874641,0.99,28,330,28,28,330,330,28.0,330.0,t,0,1,5,143
661255,0.99,2,9,2,2,9,9,2.0,9.0,t,4,15,31,306
663761,0.99,1,6,1,1,6,6,1.0,6.0,t,0,0,0,0
281224,0.99,2,1000,2,2,1125,1125,2.0,1125.0,t,21,49,79,354
287660,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0
886019,0.99,4,100,4,4,100,100,4.0,100.0,t,0,0,0,42
668753,0.99,4,30,4,4,30,30,4.0,30.0,t,0,0,12,287
888289,0.99,3,1125,1,3,1125,1125,3.0,1125.0,t,26,56,86,117
676566,0.99,3,90,3,3,1125,1125,3.0,1125.0,t,5,5,5,5
891924,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,1,5,10,25
683208,0.99,365,365,365,365,1125,1125,365.0,1125.0,t,0,0,0,0
683969,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
294520,0.99,3,90,3,3,90,90,3.0,90.0,t,24,54,84,359
294529,0.99,3,90,3,3,90,90,3.0,90.0,t,30,60,90,365
297017,0.99,1,365,1,4,1125,1125,2.1,1125.0,t,0,0,0,0
891946,0.99,2,21,2,2,21,21,2.0,21.0,t,0,0,0,0
310333,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,0,0,3,198
892453,0.99,3,20,3,3,20,20,3.0,20.0,t,0,0,0,0
893195,0.99,30,330,7,30,13,330,29.2,318.5,t,2,17,17,283
684564,0.99,3,10,3,3,10,10,3.0,10.0,t,30,60,90,90
896209,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,3,10,22,232
688795,0.99,3,300,2,4,300,300,3.0,300.0,t,23,41,62,337
903707,0.99,6,200,6,6,200,200,6.0,200.0,t,5,5,8,220
336672,0.99,2,35,2,2,1125,1125,2.0,1125.0,t,8,20,40,40
904741,0.99,2,200,2,2,1125,1125,2.0,1125.0,t,6,12,18,257
904769,0.99,2,300,2,2,1125,1125,2.0,1125.0,t,2,5,14,275
689099,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
692358,0.99,3,45,3,3,1125,1125,3.0,1125.0,t,10,16,36,36
904775,0.99,2,65,2,2,1125,1125,2.0,1125.0,t,7,12,20,264
336834,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,0,0,0,184
907386,0.99,4,365,3,4,365,365,4.0,365.0,t,0,0,0,0
336869,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
339144,0.99,25,1125,25,25,1125,1125,25.0,1125.0,t,2,2,2,197
694867,0.99,3,60,3,3,1125,1125,3.0,1125.0,t,5,13,39,39
695909,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,0,0,0,0
912617,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,30,60,90,365
913536,0.99,1,30,1,1,30,30,1.0,30.0,t,0,0,0,0
914057,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,3,11,25,291
696928,0.99,2,2,2,2,1125,1125,2.0,1125.0,t,30,60,90,365
704155,0.99,1,60,1,3,60,60,2.4,60.0,t,7,19,29,29
