host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
13660,Simon,100%,1.0,1.0
83531,Abdel,Desconocido,2.0,2.0
346366726,Alvaro,Desconocido,1.0,1.0
114340,Maria,0%,1.0,4.0
130907,Dana,Desconocido,3.0,6.0
132883,Angela,Desconocido,1.0,4.0
1713427,Helena,100%,1.0,1.0
1721158,Pau&Patricia,100%,2.0,5.0
34217435,Luis,100%,18.0,21.0
1722284,Cesar,100%,1.0,2.0
303845,Arturo,100%,3.0,3.0
1694537,Miguel Angel & Iaia,75%,1.0,1.0
353738,Raquel,90%,5.0,29.0
391014,Juan,100%,1.0,1.0
1703448,Elena,100%,2.0,2.0
448981,Mercedes,Desconocido,1.0,2.0
259229,Felipe,Desconocido,1.0,1.0
364585,Vin,100%,5.0,7.0
1751133,The Punset Family,90%,4.0,4.0
487095,Beatriz,90%,1.0,1.0
1496188,Juanpe,Desconocido,2.0,8.0
1729503,Ana,100%,3.0,5.0
1836617,Bibiana,100%,1.0,1.0
499977,Charo,100%,3.0,5.0
1871034,Olga,100%,1.0,1.0
527760,Diana,Desconocido,1.0,2.0
1884261,Henrique Manuel,100%,2.0,2.0
1888816,Margarita,100%,4.0,10.0
533936,Carlos Alberto,Desconocido,1.0,1.0
1892467,Laura,90%,2.0,3.0
361930,Maria,100%,3.0,17.0
1981346,Daniel,Desconocido,1.0,2.0
605612,Ulises,100%,6.0,8.0
650803,Jose Luis,100%,1.0,1.0
1408525,Mad4Rent,85%,73.0,125.0
666482,Cinthia,Desconocido,1.0,1.0
780107,Sonia,Desconocido,2.0,3.0
2150362,Nuria,85%,2.0,5.0
796746,Consuelo,100%,2.0,2.0
2024487,Fernando,100%,1.0,2.0
596469,Gabriel Avalos,98%,31.0,77.0
2068619,Alfonso,100%,2.0,2.0
9934732,Fernando Javier,100%,3.0,3.0
852616,Meyling,100%,4.0,5.0
967721,Santi,100%,2.0,3.0
2106353,Reyes,75%,2.0,2.0
2134007,Lola,100%,2.0,2.0
75944,Maite,Desconocido,4.0,10.0
1004721,Alex,83%,2.0,4.0
2230279,Marina,100%,1.0,1.0
2240898,Alejandro,100%,1.0,2.0
1008659,Nuria,100%,5.0,6.0
617086,Agata,100%,1.0,1.0
1031664,José,Desconocido,1.0,2.0
1090760,Jon,100%,1.0,2.0
2296476,Jose Manuel,100%,1.0,2.0
1732442,Anouk,100%,5.0,18.0
2322563,Julio,100%,3.0,3.0
2332600,Rodrigo,100%,8.0,18.0
1146227,Davinia,100%,3.0,4.0
1172225,Eva,Desconocido,3.0,3.0
2376402,Jesús,Desconocido,1.0,1.0
2427722,Ignacio,Desconocido,3.0,3.0
1130651,Sergio,93%,11.0,18.0
2467212,Joël,100%,2.0,2.0
1359945,Azucena,100%,1.0,5.0
1367452,Javier,Desconocido,1.0,1.0
2480913,Elvira,100%,2.0,2.0
1351865,Angela,100%,2.0,6.0
1932547,Nieves,100%,1.0,1.0
1373873,Al,100%,1.0,1.0
2501740,Moises&Cristina + Little Sophie&Eli,100%,5.0,6.0
2517520,Ruben,90%,1.0,1.0
1406073,Jose Antonio,100%,1.0,1.0
1652272,Xuan,100%,1.0,5.0
1425071,Enrique,100%,4.0,24.0
2576044,Angel,100%,1.0,1.0
1466005,Pe,100%,1.0,1.0
2249249,David,Desconocido,1.0,2.0
1134989,Rut,100%,6.0,6.0
1522694,Isdel Pablo,100%,4.0,6.0
4677030,Jaime,90%,6.0,11.0
2613319,David,100%,1.0,1.0
2659070,Ana,100%,2.0,4.0
1596220,Paloma,100%,1.0,1.0
1716726,Jesús,100%,1.0,1.0
1284868,Rocio,100%,2.0,2.0
3540348,Román,100%,6.0,7.0
2673517,Sylvia,100%,1.0,1.0
2713304,Belén,100%,1.0,1.0
2747005,Maribel,Desconocido,1.0,5.0
3021792,Jose,Desconocido,1.0,1.0
3569462,Claudia,100%,2.0,2.0
2779192,Wanda,100%,1.0,1.0
3606346,José,100%,6.0,13.0
2785251,Susana,100%,2.0,11.0
3648882,Luz,100%,1.0,1.0
2795931,Pilar,Desconocido,1.0,2.0
2347489,Jeanet,91%,3.0,4.0
3654886,Sara,Desconocido,2.0,4.0
1689652,Alfredo,Desconocido,1.0,1.0
3691303,Paloma,100%,1.0,2.0
2312712,Pilar,100%,1.0,1.0
2847013,Santiago,100%,3.0,12.0
2902269,Ane,Desconocido,1.0,5.0
2267893,Ana,100%,1.0,1.0
3698406,Arman,100%,1.0,1.0
2913511,Amparo,90%,1.0,4.0
153391,Fernando,100%,6.0,15.0
3724500,Lucrecia,100%,1.0,1.0
