id,property_type,room_type,host_id,bedroom,beds,bathroom
6369,Private room in rental unit,Private room,13660,1.0,1.0,1 private bath
21853,Private room in rental unit,Private room,83531,1.0,1.0,1 bath
24805,Entire rental unit,Entire home/apt,346366726,1.0,1.0,1 bath
26825,Private room in home,Private room,114340,1.0,1.0,1 private bath
30320,Entire rental unit,Entire home/apt,130907,1.0,2.0,1 bath
30959,Entire loft,Entire home/apt,132883,1.0,1.0,1 bath
40718,Entire rental unit,Entire home/apt,34217435,1.0,2.0,1 bath
40916,Entire rental unit,Entire home/apt,130907,1.0,3.0,1 bath
62423,Private room in rental unit,Private room,303845,1.0,2.0,1.5 shared baths
70073,Entire rental unit,Entire home/apt,353738,1.0,1.0,1 bath
70310,Entire rental unit,Entire home/apt,353738,1.0,2.0,1 bath
74352,Entire rental unit,Entire home/apt,391014,1.0,2.0,1 bath
82481,Entire rental unit,Entire home/apt,448981,1.0,1.0,1 bath
84719,Entire rental unit,Entire home/apt,259229,1.0,1.0,1 bath
86042,Entire rental unit,Entire home/apt,364585,3.0,3.0,1 bath
89954,Entire loft,Entire home/apt,487095,2.0,3.0,1 bath
47957,Entire condo,Entire home/apt,218515,2.0,2.0,2 baths
93100,Private room in rental unit,Private room,499977,1.0,2.0,2 baths
100411,Entire rental unit,Entire home/apt,527760,1.0,1.0,1 bath
766160,Entire rental unit,Entire home/apt,4036376,1.0,1.0,1 bath
772646,Entire rental unit,Entire home/apt,3606346,1.0,1.0,1 bath
102040,Private room in rental unit,Private room,533936,1.0,1.0,1 shared bath
777913,Entire rental unit,Entire home/apt,124972,2.0,2.0,1 bath
103541,Entire rental unit,Entire home/apt,361930,2.0,3.0,2 baths
780397,Entire rental unit,Entire home/apt,4068975,3.0,6.0,2 baths
515008,Private room in rental unit,Private room,2536524,1.0,1.0,2 shared baths
780684,Private room in rental unit,Private room,2057313,1.0,2.0,1 shared bath
518208,Private room in rental unit,Private room,2536524,1.0,2.0,2 shared baths
521329,Private room in rental unit,Private room,2563986,1.0,1.0,1 shared bath
114854,Entire rental unit,Entire home/apt,361930,1.0,2.0,1 bath
780743,Private room in rental unit,Private room,2057313,1.0,1.0,1 shared bath
120293,Private room in rental unit,Private room,605612,1.0,2.0,1 shared bath
783647,Private room in rental unit,Private room,4132185,1.0,1.0,1 shared bath
123864,Entire rental unit,Entire home/apt,605612,1.0,2.0,1 bath
132428,Private room in rental unit,Private room,650803,1.0,1.0,1 bath
522563,Entire rental unit,Entire home/apt,1652272,2.0,2.0,1.5 baths
793618,Entire rental unit,Entire home/apt,23603298,3.0,5.0,3.5 baths
793622,Entire rental unit,Entire home/apt,4181071,1.0,1.0,1 bath
524003,Private room in rental unit,Private room,2576044,1.0,1.0,1 private bath
526162,Private room in rental unit,Private room,2249249,1.0,1.0,1 shared bath
136058,Private room in rental unit,Private room,666482,1.0,1.0,1 shared bath
797030,Entire rental unit,Entire home/apt,4198169,2.0,2.0,2 baths
804681,Private room in home,Private room,4235741,4.0,1.0,2 shared baths
153798,Entire rental unit,Entire home/apt,739627,2.0,3.0,1 bath
163429,Entire loft,Entire home/apt,780107,1.0,2.0,1 bath
526513,Entire rental unit,Entire home/apt,1134989,2.0,4.0,1 bath
814586,Entire rental unit,Entire home/apt,4277536,2.0,2.0,1 bath
531677,Private room in rental unit,Private room,2613319,1.0,1.0,1 shared bath
536574,Entire home,Entire home/apt,447969,5.0,9.0,1 bath
167183,Private room in chalet,Private room,796746,1.0,1.0,1 private bath
814647,Private room in home,Private room,4159117,1.0,1.0,1 bath
170750,Entire rental unit,Entire home/apt,814490,2.0,4.0,1 bath
540937,Entire rental unit,Entire home/apt,2659070,1.0,1.0,1 bath
541406,Entire home,Entire home/apt,2661721,4.0,1.0,1 bath
543835,Entire rental unit,Entire home/apt,1402142,1.0,1.0,1 bath
814731,Shared room in hut,Shared room,4280501,1.0,2.0,1 shared bath
544736,Private room in rental unit,Private room,1284868,1.0,1.0,1 shared bath
548995,Entire rental unit,Entire home/apt,2673517,2.0,3.0,1 bath
177523,Entire rental unit,Entire home/apt,596469,1.0,1.0,1 bath
814870,Private room in rental unit,Private room,4281126,1.0,1.0,2 shared baths
552183,Private room in rental unit,Private room,2713304,1.0,1.0,1 shared bath
815818,Entire rental unit,Entire home/apt,4286142,1.0,1.0,1 bath
817184,Entire rental unit,Entire home/apt,4292037,2.0,2.0,1 bath
