host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
13660,Simon,100%,1.0,1.0
83531,Abdel,Desconocido,2.0,2.0
346366726,Alvaro,Desconocido,1.0,1.0
132883,Angela,Desconocido,1.0,4.0
162926,Sergio,20%,1.0,1.0
114340,Agustina,100%,1.0,4.0
130907,Dana,100%,3.0,6.0
303845,Arturo,100%,2.0,2.0
218515,Sergio,100%,2.0,4.0
353738,Raquel,100%,4.0,29.0
353616,Diana,100%,1.0,2.0
34217435,Luis,100%,13.0,16.0
448981,Mercedes,Desconocido,1.0,2.0
391014,Juan,Desconocido,1.0,1.0
259229,Felipe,100%,1.0,1.0
499977,Charo,100%,2.0,6.0
487095,Beatriz,100%,1.0,1.0
364585,Vin,100%,5.0,7.0
655088,Elsa,100%,1.0,3.0
527760,Diana,Desconocido,1.0,2.0
3540348,Román,100%,7.0,12.0
2150362,Nuria,100%,2.0,5.0
533936,Carlos Alberto,100%,1.0,1.0
1408525,Mad4Rent,91%,62.0,109.0
2024487,Fernando,100%,1.0,2.0
3021792,Jose,Desconocido,1.0,1.0
539643,Juan Mariano,100%,2.0,4.0
2068619,Alfonso,100%,1.0,1.0
9934732,Fernando Javier,100%,3.0,3.0
3569462,Claudia,100%,2.0,2.0
3606346,José,100%,7.0,13.0
361930,Maria,100%,5.0,18.0
3648882,Luz,100%,1.0,1.0
3654886,Sara,100%,2.0,4.0
2106353,Reyes,13%,2.0,2.0
2134007,Lola,100%,3.0,3.0
605612,Ulises,100%,5.0,8.0
3691303,Paloma,100%,1.0,2.0
3698406,Arman,100%,1.0,1.0
2230279,Marina,100%,1.0,1.0
650803,Jose Luis,91%,1.0,2.0
666482,Cinthia,100%,1.0,1.0
2240898,Alejandro,78%,1.0,1.0
617086,Agata,Desconocido,1.0,2.0
739627,Isabel,89%,2.0,2.0
2290984,Artur,Desconocido,1.0,1.0
1954334,Mike,100%,1.0,3.0
3724500,Lucrecia,100%,1.0,1.0
780107,Sonia,Desconocido,2.0,2.0
2555202,Norah,83%,1.0,1.0
796746,Consuelo,60%,2.0,2.0
3746437,Nuria,100%,22.0,32.0
2296476,Jose Manuel,100%,1.0,2.0
814490,Rafael,Desconocido,2.0,8.0
2322563,Julio And Sarah,100%,2.0,3.0
2332600,Rodrigo,100%,7.0,14.0
498646,Irma,100%,12.0,13.0
1566057,Angel L.,Desconocido,1.0,2.0
2376402,Jesús,100%,1.0,1.0
2427722,Ignacio,100%,1.0,1.0
3797913,Rocio,100%,7.0,19.0
596469,Gabriel Avalos,100%,28.0,71.0
2456671,José & María,100%,3.0,5.0
852616,Meyling,100%,4.0,5.0
2467212,Joël,100%,2.0,2.0
2480913,Elvira,100%,1.0,1.0
3821608,Charo,100%,1.0,2.0
749212,Henrietta,100%,1.0,2.0
3825783,Elisa,100%,1.0,4.0
3591751,Fernando,100%,2.0,7.0
1932547,Nieves,100%,1.0,1.0
2501740,Moises&Cristina + Little Sophie&Eli,100%,4.0,5.0
2517520,Ruben,100%,1.0,1.0
75944,Maite,Desconocido,4.0,10.0
1008659,Nuria,100%,4.0,5.0
2536524,Marina Y Danna,100%,6.0,6.0
1150912,Andrew,86%,1.0,1.0
1625657,Matias,100%,4.0,6.0
1888816,Margarita,100%,4.0,10.0
1031664,José,100%,1.0,2.0
2563986,Elena,Desconocido,3.0,4.0
1090760,Jon,100%,1.0,2.0
1652272,Xuan,78%,1.0,5.0
124972,Luisa,100%,7.0,42.0
1732442,Anouk,100%,5.0,18.0
3951702,Juan Antonio,100%,1.0,1.0
2576044,Angel,100%,1.0,1.0
2249249,David,Desconocido,1.0,2.0
1134989,Óscar,100%,6.0,6.0
3898452,Consuelo,100%,2.0,2.0
1146227,Davinia,100%,1.0,2.0
216570,Miguel,100%,2.0,2.0
1174648,Rebeca,100%,2.0,2.0
3438657,Áureo,Desconocido,2.0,2.0
3960415,Cristina,Desconocido,1.0,1.0
2613319,David,100%,1.0,1.0
447969,Javier,Desconocido,1.0,1.0
2638528,Miguel,80%,2.0,2.0
2659070,Ana,100%,3.0,6.0
1172225,Eva,Desconocido,3.0,3.0
1130651,Sergio,84%,10.0,16.0
2661721,Tony,Desconocido,1.0,1.0
1402142,Susana,100%,2.0,8.0
3961468,Domingo,100%,1.0,1.0
3983613,Raul,100%,4.0,7.0
1284868,Rocio,100%,2.0,2.0
1359945,Azucena,100%,1.0,5.0
2673517,Sylvia,100%,1.0,1.0
2713304,Belén,100%,1.0,1.0
4008643,Antonio : Smart Apartments Madrid,100%,4.0,4.0
4012305,Compostela,100%,1.0,11.0
