id,property_type,room_type,host_id,bedroom,beds,bathroom
32929872,Private room in bed and breakfast,Private room,128884942,1 bedrooms,1 beds,0 bathrooms
32930083,Private room in rental unit,Private room,247765979,1 bedrooms,1 beds,0 bathrooms
33381710,Entire rental unit,Entire home/apt,251293414,1 bedroom,2 beds,1 bath
33383484,Private room in rental unit,Private room,235843854,1 bedroom,1 bed,1 shared bath
32935156,Entire rental unit,Entire home/apt,149257574,1 bedroom,3 beds,1 bath
32936677,Private room in rental unit,Private room,247825154,1 bedroom,1 bed,Private half-bath
33389179,Entire rental unit,Entire home/apt,23603298,1 bedroom,2 beds,1 bath
32949239,Entire rental unit,Entire home/apt,247185985,1 bedroom,2 beds,1 bath
32949914,Entire rental unit,Entire home/apt,247181936,2 bedrooms,3 beds,2 baths
32952035,Private room in rental unit,Private room,63791749,3 bedrooms,2 beds,2 baths
32959556,Entire rental unit,Entire home/apt,91791604,Studio,1 bed,1 bath
33389189,Entire rental unit,Entire home/apt,23603298,4 bedrooms,9 beds,2 baths
33392539,Entire condo,Entire home/apt,251560047,4 bedrooms,7 beds,3 baths
32972819,Entire rental unit,Entire home/apt,214234732,1 bedroom,2 beds,1.5 baths
32978360,Entire rental unit,Entire home/apt,245325459,5 bedrooms,10 beds,3 baths
33395490,Entire rental unit,Entire home/apt,107141654,1 bedroom,1 bed,1 bath
32979174,Entire rental unit,Entire home/apt,248204365,1 bedroom,1 bed,1 bath
32979635,Entire rental unit,Entire home/apt,245325459,5 bedrooms,10 beds,3 baths
32986361,Private room in rental unit,Private room,56809542,1 bedrooms,1 beds,0 bathrooms
33398286,Entire rental unit,Entire home/apt,204028288,2 bedrooms,3 beds,1 bath
33416413,Entire rental unit,Entire home/apt,251726012,4 bedrooms,4 beds,4 baths
32998237,Entire rental unit,Entire home/apt,9360920,Studio,2 beds,1 bath
33002037,Entire condo,Entire home/apt,8321213,1 bedroom,2 beds,1 bath
33423009,Entire rental unit,Entire home/apt,216203351,2 bedrooms,3 beds,2 baths
33424861,Entire home,Entire home/apt,3534888,1 bedrooms,1 beds,0 bathrooms
33002419,Private room in condo,Private room,85815913,1 bedroom,1 bed,1 shared bath
33426339,Private room in rental unit,Private room,110484064,1 bedrooms,1 beds,0 bathrooms
33003460,Entire guesthouse,Entire home/apt,248376384,1 bedroom,1 bed,1 bath
33005635,Private room in dome,Private room,105844440,1 bedrooms,1 beds,0 bathrooms
33426544,Private room in home,Private room,251811508,1 bedroom,1 bed,1 shared bath
33006350,Private room in home,Private room,248383433,1 bedroom,1 bed,1 shared bath
33010075,Entire rental unit,Entire home/apt,91506664,1 bedroom,2 beds,1 bath
33429516,Room in hostel,Hotel room,55202097,1 bedroom,1 bed,1 private bath
33011170,Entire rental unit,Entire home/apt,9699624,1 bedroom,1 bed,2 baths
33437368,Entire rental unit,Entire home/apt,80473977,2 bedrooms,2 beds,1 bath
33015208,Entire condo,Entire home/apt,106491123,1 bedroom,2 beds,1 bath
33439081,Entire rental unit,Entire home/apt,43264256,Studio,2 beds,1 bath
33439920,Private room in rental unit,Private room,14278429,1 bedroom,1 bed,1 shared bath
33029336,Entire rental unit,Entire home/apt,248593679,2 bedrooms,3 beds,1 bath
33031909,Entire rental unit,Entire home/apt,6241731,2 bedrooms,2 beds,1 bath
33441242,Private room in rental unit,Private room,37885261,1 bedroom,1 bed,1 shared bath
33033401,Entire loft,Entire home/apt,248621680,Studio,1 bed,1 bath
33441901,Private room in rental unit,Private room,232511622,1 bedroom,1 bed,1 shared bath
33445587,Private room in home,Private room,251962461,1 bedroom,1 bed,1.5 baths
33042208,Entire rental unit,Entire home/apt,107141654,1 bedroom,2 beds,1 bath
33446662,Entire rental unit,Entire home/apt,251971975,3 bedrooms,5 beds,2.5 baths
33062412,Entire loft,Entire home/apt,107141654,Studio,2 beds,1 bath
33457584,Private room in rental unit,Private room,1891477,1 bedroom,1 bed,2 shared baths
33062413,Entire loft,Entire home/apt,107141654,Studio,2 beds,1 bath
33460925,Private room in condo,Private room,252092964,1 bedrooms,1 beds,0 bathrooms
33066813,Entire rental unit,Entire home/apt,17499500,1 bedroom,1 bed,1 bath
33468754,Entire rental unit,Entire home/apt,251559789,1 bedroom,2 beds,1 bath
33068524,Private room in rental unit,Private room,1891477,1 bedroom,1 bed,2 shared baths
33470255,Entire home,Entire home/apt,250503757,4 bedrooms,12 beds,4 baths
33072316,Entire rental unit,Entire home/apt,5189377,2 bedrooms,2 beds,1 bath
33085374,Entire rental unit,Entire home/apt,48033079,Studio,1 bed,1 bath
33479343,Private room in rental unit,Private room,10409026,1 bedroom,1 bed,1 shared bath
33087403,Entire rental unit,Entire home/apt,28786243,2 bedrooms,2 beds,2.5 baths
33484435,Shared room in home,Shared room,252306857,1 bedrooms,1 beds,0 bathrooms
33112432,Private room in rental unit,Private room,249243448,1 bedroom,1 bed,1 shared bath
33486396,Private room in rental unit,Private room,252325529,1 bedrooms,1 beds,0 bathrooms
33124938,Entire loft,Entire home/apt,249364714,2 bedrooms,3 beds,2 baths
33486409,Entire rental unit,Entire home/apt,93867045,2 bedrooms,3 beds,1 bath
33491678,Private room in rental unit,Private room,41062762,1 bedroom,1 bed,1 private bath
33125228,Private room in rental unit,Private room,901218,1 bedroom,1 bed,3 shared baths
33147521,Entire rental unit,Entire home/apt,15058650,2 bedrooms,3 beds,1 bath
33492380,Private room in home,Private room,252377655,1 bedrooms,1 beds,0 bathrooms
33148762,Entire rental unit,Entire home/apt,190861738,3 bedrooms,3 beds,2 baths
33512958,Entire rental unit,Entire home/apt,119826562,1 bedroom,1 bed,1 bath
33173113,Private room in townhouse,Private room,110578128,1 bedroom,2 beds,2 shared baths
33174238,Private room in serviced apartment,Private room,249783953,1 bedrooms,1 beds,0 bathrooms
33526920,Entire rental unit,Entire home/apt,6504255,1 bedroom,1 bed,1 bath
33176713,Entire rental unit,Entire home/apt,249795247,1 bedrooms,1 beds,0 bathrooms
33179688,Private room in rental unit,Private room,210964965,1 bedroom,1 bed,1 shared bath
33533486,Entire rental unit,Entire home/apt,69022392,1 bedrooms,1 beds,0 bathrooms
33179945,Private room in home,Private room,45815795,1 bedroom,2 beds,1 private bath
33180649,Entire rental unit,Entire home/apt,243491399,2 bedrooms,3 beds,1 bath
33537761,Private room in home,Private room,132481584,1 bedroom,1 bed,1 shared bath
33186834,Entire rental unit,Entire home/apt,927713,1 bedroom,2 beds,1 bath
33546672,Private room in guesthouse,Private room,231045214,1 bedroom,2 beds,1.5 shared baths
33547303,Entire rental unit,Entire home/apt,252781933,3 bedrooms,4 beds,2 baths
33188407,Entire rental unit,Entire home/apt,95873367,2 bedrooms,2 beds,2 baths
33193010,Entire rental unit,Entire home/apt,93669276,1 bedroom,2 beds,1 bath
33555124,Entire rental unit,Entire home/apt,15554160,1 bedroom,1 bed,2 baths
33195974,Entire rental unit,Entire home/apt,24067838,1 bedrooms,1 beds,0 bathrooms
33557425,Entire rental unit,Entire home/apt,77489120,1 bedroom,2 beds,1 bath
33204060,Private room in home,Private room,6075016,1 bedroom,1 bed,1.5 shared baths
33204699,Entire rental unit,Entire home/apt,124534757,Studio,1 bed,1 bath
33566714,Entire loft,Entire home/apt,119292500,1 bedroom,1 bed,1.5 baths
33207485,Entire rental unit,Entire home/apt,71506132,1 bedroom,2 beds,1 bath
33570691,Entire loft,Entire home/apt,252962322,1 bedroom,2 beds,1 bath
33210360,Entire rental unit,Entire home/apt,231774867,Studio,2 beds,1 bath
33215168,Private room in rental unit,Private room,248910612,1 bedroom,1 bed,1 shared bath
33571875,Entire rental unit,Entire home/apt,31509536,1 bedroom,1 bed,1 bath
33216928,Entire rental unit,Entire home/apt,2915210,2 bedrooms,5 beds,1 bath
33575979,Private room in rental unit,Private room,248378517,1 bedroom,1 bed,1.5 shared baths
33218434,Entire rental unit,Entire home/apt,250107513,1 bedrooms,1 beds,0 bathrooms
33577415,Entire rental unit,Entire home/apt,247049894,1 bedroom,2 beds,1 bath
33583103,Private room in rental unit,Private room,128439077,1 bedroom,1 bed,1.5 baths
33218890,Entire rental unit,Entire home/apt,7338976,2 bedrooms,2 beds,2 baths
33219107,Entire rental unit,Entire home/apt,145123279,1 bedroom,1 bed,1 bath
33589308,Entire rental unit,Entire home/apt,253107978,1 bedroom,1 bed,1 bath
33226350,Private room in rental unit,Private room,181071082,1 bedroom,1 bed,1 private bath
33601042,Entire rental unit,Entire home/apt,50648232,1 bedroom,2 beds,1 bath
33236630,Entire rental unit,Entire home/apt,250255461,1 bedroom,1 bed,1 bath
33605612,Entire rental unit,Entire home/apt,46695381,1 bedroom,1 bed,1 bath
33239332,Private room in rental unit,Private room,250262960,1 bedrooms,1 beds,0 bathrooms
33606484,Private room in rental unit,Private room,194553476,1 bedrooms,1 beds,0 bathrooms
33245133,Entire rental unit,Entire home/apt,23603298,2 bedrooms,4 beds,2.5 baths
33624348,Entire rental unit,Entire home/apt,199608219,1 bedroom,1 bed,1 bath
33249881,Entire home,Entire home/apt,250360759,3 bedrooms,3 beds,1.5 baths
33632524,Shared room in condo,Shared room,130181299,1 bedrooms,1 beds,0 bathrooms
33258974,Entire rental unit,Entire home/apt,231647798,2 bedrooms,2 beds,2 baths
33634004,Entire rental unit,Entire home/apt,243258563,1 bedroom,1 bed,1 bath
33635495,Entire rental unit,Entire home/apt,253474412,1 bedroom,1 bed,1 bath
33683495,Private room in rental unit,Private room,253873738,1 bedrooms,1 beds,0 bathrooms
33683822,Entire rental unit,Entire home/apt,19354073,2 bedrooms,4 beds,1 bath
33636170,Entire rental unit,Entire home/apt,253450613,Studio,1 bed,1 bath
33685278,Entire rental unit,Entire home/apt,15231290,2 bedrooms,2 beds,1 bath
33655621,Private room in home,Private room,207182724,1 bedrooms,1 beds,0 bathrooms
33686014,Private room in rental unit,Private room,213129076,1 bedroom,1 bed,1 shared bath
33657683,Entire condo,Entire home/apt,32809643,1 bedrooms,1 beds,0 bathrooms
33658165,Private room in rental unit,Private room,56734014,1 bedrooms,1 beds,0 bathrooms
33659756,Room in hostel,Hotel room,55202097,1 bedroom,2 beds,1 private bath
33671987,Private room in rental unit,Private room,114720837,1 bedrooms,1 beds,0 bathrooms
33687073,Private room in rental unit,Private room,253923444,1 bedrooms,1 beds,0 bathrooms
33675830,Entire home,Entire home/apt,253819626,1 bedroom,1 bed,1 bath
33679995,Private room in rental unit,Private room,138218743,1 bedrooms,1 beds,0 bathrooms
33687193,Private room in rental unit,Private room,163782415,1 bedrooms,1 beds,0 bathrooms
33680474,Room in hostel,Hotel room,55202097,1 bedroom,1 bed,1 private bath
33681550,Room in hostel,Hotel room,55202097,1 bedroom,2 beds,1 private bath
33681864,Room in hostel,Hotel room,55202097,1 bedroom,2 beds,1 private bath
33699654,Entire rental unit,Entire home/apt,251326962,2 bedrooms,3 beds,2 baths
33682006,Room in hostel,Hotel room,55202097,1 bedroom,2 beds,1 private bath
33682425,Entire rental unit,Entire home/apt,106147867,1 bedroom,1 bed,1 bath
33682757,Private room in home,Private room,208411089,1 bedrooms,1 beds,0 bathrooms
33682813,Entire rental unit,Entire home/apt,62615605,3 bedrooms,5 beds,2 baths
33702566,Entire home,Entire home/apt,129570406,1 bedrooms,1 beds,0 bathrooms
34073014,Entire rental unit,Entire home/apt,257300175,2 bedrooms,2 beds,2 baths
33706771,Entire rental unit,Entire home/apt,40877988,1 bedroom,3 beds,1 bath
34075578,Private room in rental unit,Private room,2668849,1 bedrooms,1 beds,0 bathrooms
33710054,Entire rental unit,Entire home/apt,254096618,3 bedrooms,6 beds,2.5 baths
33713928,Entire loft,Entire home/apt,254131609,1 bedrooms,1 beds,0 bathrooms
34077814,Entire rental unit,Entire home/apt,4179422,1 bedroom,2 beds,1 bath
34079283,Entire condo,Entire home/apt,147098173,3 bedrooms,3 beds,2.5 baths
34080760,Private room in bed and breakfast,Private room,147098173,1 bedrooms,1 beds,0 bathrooms
33715390,Entire rental unit,Entire home/apt,254144388,2 bedrooms,2 beds,1 bath
34081159,Entire rental unit,Entire home/apt,257105144,1 bedroom,2 beds,1 bath
34081621,Entire rental unit,Entire home/apt,257358977,3 bedrooms,5 beds,2 baths
33716197,Private room in rental unit,Private room,72254142,1 bedrooms,1 beds,0 bathrooms
34101923,Entire rental unit,Entire home/apt,256387985,1 bedrooms,1 beds,0 bathrooms
33730119,Entire rental unit,Entire home/apt,105010641,Studio,3 beds,1 bath
33731094,Private room in hostel,Private room,254267435,1 bedroom,2 beds,1 private bath
34109147,Private room in rental unit,Private room,222271710,2 bedrooms,2 beds,1 shared bath
34112118,Private room in rental unit,Private room,126125679,1 bedrooms,1 beds,0 bathrooms
33732545,Entire rental unit,Entire home/apt,60358230,1 bedroom,1 bed,1 bath
33734221,Entire rental unit,Entire home/apt,254277488,1 bedroom,2 beds,1 bath
34123888,Private room in rental unit,Private room,126125679,1 bedroom,1 bed,1 shared bath
33734252,Private room in rental unit,Private room,254167003,1 bedroom,1 bed,1 shared bath
34132865,Private room in home,Private room,257718964,1 bedroom,2 beds,1 private bath
33736696,Entire rental unit,Entire home/apt,40877988,1 bedroom,2 beds,1 bath
34133380,Private room in rental unit,Private room,56030379,1 bedroom,1 bed,1.5 shared baths
33737695,Private room in rental unit,Private room,71952267,2 bedrooms,2 beds,1 shared bath
34135775,Entire rental unit,Entire home/apt,114457149,1 bedroom,2 beds,1 bath
33737762,Entire rental unit,Entire home/apt,254315408,2 bedrooms,3 beds,2 baths
34138562,Entire rental unit,Entire home/apt,70121079,1 bedrooms,1 beds,0 bathrooms
34149687,Private room in home,Private room,39040357,1 bedroom,1 bed,1 shared bath
33741664,Entire rental unit,Entire home/apt,254342416,2 bedrooms,3 beds,1 bath
34151736,Entire condo,Entire home/apt,8321213,Studio,2 beds,1 bath
33761384,Entire rental unit,Entire home/apt,63334355,3 bedrooms,5 beds,1.5 baths
33761630,Private room in bed and breakfast,Private room,246757382,Studio,1 bed,1 shared bath
34168267,Entire rental unit,Entire home/apt,257973238,1 bedroom,1 bed,1 bath
33772099,Entire rental unit,Entire home/apt,216203351,2 bedrooms,3 beds,2 baths
34170295,Private room in serviced apartment,Private room,75150135,8 bedrooms,1 bed,0 shared baths
33772621,Entire rental unit,Entire home/apt,104141426,1 bedrooms,1 beds,0 bathrooms
34171087,Entire rental unit,Entire home/apt,257992986,2 bedrooms,2 beds,1 bath
33778867,Private room in home,Private room,214830785,1 bedroom,1 bed,1 shared bath
33788629,Entire rental unit,Entire home/apt,40877988,2 bedrooms,4 beds,2 baths
34174083,Entire rental unit,Entire home/apt,106591951,2 bedrooms,2 beds,2 baths
33788956,Entire rental unit,Entire home/apt,133790461,1 bedroom,2 beds,1 bath
34174828,Entire rental unit,Entire home/apt,247184237,1 bedroom,2 beds,1 bath
33793791,Entire rental unit,Entire home/apt,254992416,1 bedroom,2 beds,1 bath
34175411,Entire rental unit,Entire home/apt,40877988,3 bedrooms,4 beds,2 baths
33797586,Entire rental unit,Entire home/apt,255155299,1 bedroom,2 beds,1 bath
34175754,Private room in rental unit,Private room,54571417,1 bedroom,1 bed,1 private bath
33801693,Private room in rental unit,Private room,255203942,1 bedrooms,1 beds,0 bathrooms
