host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
13660,Simon,100%,1.0,1.0
83531,Abdel,100%,2.0,2.0
346366726,Alvaro,Desconocido,1.0,1.0
1729503,Ana,100%,3.0,5.0
130907,Dana,Desconocido,3.0,6.0
1836617,Bibiana,100%,1.0,1.0
132883,Angela,Desconocido,1.0,4.0
1871034,Olga,100%,1.0,1.0
34217435,Luis,100%,18.0,21.0
1884261,Henrique Manuel,100%,1.0,2.0
303845,Arturo,95%,3.0,3.0
1888816,Margarita,90%,4.0,10.0
353738,Raquel,100%,8.0,29.0
1892467,Laura,100%,2.0,3.0
1917171,Maria Reyes Y Nuria,100%,1.0,1.0
391014,Juan,Desconocido,1.0,1.0
1981346,Daniel,100%,1.0,2.0
1408525,Mad4Rent,92%,70.0,119.0
448981,Mercedes,Desconocido,1.0,2.0
2150362,Nuria,91%,2.0,5.0
259229,Felipe,Desconocido,1.0,1.0
2024487,Fernando,100%,1.0,2.0
364585,Vin,100%,5.0,7.0
487095,Beatriz,100%,1.0,1.0
2068619,Alfonso,100%,2.0,2.0
499977,Charo,100%,3.0,6.0
2106353,Reyes,50%,2.0,2.0
527760,Diana,Desconocido,1.0,2.0
2134007,Lola,100%,3.0,3.0
533936,Carlos Alberto,100%,1.0,1.0
361930,Maria,100%,4.0,19.0
2230279,Marina,100%,1.0,1.0
605612,Ulises,100%,5.0,8.0
2240898,Alejandro,100%,1.0,1.0
617086,Agata,Desconocido,1.0,2.0
650803,Jose Luis,80%,1.0,2.0
666482,Cinthia,Desconocido,1.0,1.0
723539,Eloisa,100%,11.0,27.0
780107,Sonia,Desconocido,2.0,3.0
796746,Consuelo,100%,2.0,2.0
596469,Gabriel Avalos,100%,29.0,76.0
852616,Meyling,100%,4.0,5.0
75944,Maite,Desconocido,4.0,10.0
2296476,Jose Manuel,100%,1.0,2.0
1004721,Alex,100%,2.0,4.0
1008659,Nuria,100%,5.0,6.0
1031664,José,88%,1.0,2.0
2322563,Julio,100%,3.0,3.0
1090760,Jon,100%,1.0,2.0
1732442,Anouk,100%,5.0,18.0
2332600,Rodrigo,100%,8.0,18.0
1146227,Davinia,100%,1.0,2.0
1172225,Eva,Desconocido,3.0,3.0
1130651,Sergio,93%,10.0,16.0
2376402,Jesús,Desconocido,1.0,1.0
2427722,Ignacio,100%,3.0,3.0
2467212,Joël,100%,2.0,2.0
1359945,Azucena,100%,1.0,5.0
2480913,Elvira,100%,1.0,1.0
1367452,Javier,100%,1.0,1.0
1932547,Nieves,100%,1.0,1.0
2501740,Moises&Cristina + Little Sophie&Eli,100%,5.0,6.0
1351865,Angela Y Jaime,100%,2.0,6.0
2517520,Ruben,Desconocido,1.0,1.0
1373873,Al,100%,1.0,1.0
2536524,Marina Y Danna,100%,6.0,6.0
1406073,Jose Antonio,100%,1.0,3.0
2563986,Elena,100%,4.0,4.0
1425071,Enrique,100%,4.0,24.0
1652272,Xuan,100%,2.0,5.0
1466005,Pe,100%,1.0,1.0
2576044,Angel,100%,1.0,1.0
1496188,Juanpe,Desconocido,2.0,8.0
2249249,David,Desconocido,1.0,2.0
901218,Myrko,100%,53.0,161.0
1134989,Óscar,100%,6.0,6.0
2613319,David,Desconocido,1.0,1.0
447969,Javier,Desconocido,1.0,1.0
1522694,Isdel Pablo,100%,4.0,6.0
2659070,Ana,100%,2.0,4.0
1284868,Rocio,100%,2.0,2.0
4677030,Jaime,100%,6.0,11.0
1596220,Paloma,100%,1.0,1.0
1716726,Jesús,90%,1.0,1.0
1713427,Helena,100%,1.0,1.0
2673517,Sylvia,100%,1.0,1.0
1721158,Pau&Patricia,100%,2.0,5.0
1722284,Cesar,100%,1.0,2.0
1694537,Miguel Angel & Iaia,100%,1.0,1.0
2713304,Belén,100%,1.0,1.0
1703448,Elena,86%,2.0,2.0
1751133,The Punset Family,90%,4.0,4.0
2747005,Maribel,100%,1.0,5.0
3021792,Jose,Desconocido,1.0,1.0
