id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6369,99,19,0,4.87,4.9,4.82,4.75,4.85,4.82,4.85,0.65
21853,33,0,0,4.58,4.72,4.56,4.75,4.82,4.21,4.67,0.34
24805,24,12,1,4.88,4.88,4.83,5.0,5.0,5.0,4.83,0.25
26825,166,17,1,4.7,4.82,4.93,4.8,4.73,4.73,4.74,1.1
363476,475,65,4,4.55,4.55,4.57,4.69,4.79,4.97,4.52,3.74
30320,171,1,0,4.64,4.73,4.89,4.85,4.8,4.9,4.71,1.15
30478,6,0,0,5.0,4.33,4.33,4.67,4.5,5.0,4.33,0.05
30959,8,0,0,4.38,4.14,4.38,4.63,4.63,4.88,4.25,0.09
40718,127,9,0,4.63,4.73,4.69,4.58,4.86,4.95,4.68,0.86
371532,100,21,0,4.86,4.92,4.68,4.82,4.94,4.98,4.82,0.79
40916,49,1,0,4.65,4.69,4.9,4.85,4.79,4.88,4.55,0.34
47957,58,3,1,4.82,4.87,4.83,4.87,4.83,4.91,4.78,0.41
375472,148,1,0,4.66,4.65,4.76,4.82,4.71,4.71,4.72,1.21
62423,136,42,0,4.58,4.77,4.34,4.77,4.85,4.96,4.46,2.57
376379,24,4,0,4.46,4.67,4.46,4.92,4.92,5.0,4.38,0.23
70073,28,9,0,4.37,4.56,4.54,4.52,4.52,4.67,4.26,0.21
70310,26,4,0,4.28,4.58,4.46,4.8,4.65,4.84,4.08,0.19
74352,5,0,0,4.6,4.6,4.4,5.0,5.0,4.8,4.6,0.08
396532,119,0,0,4.86,4.87,4.86,4.97,4.96,4.86,4.84,0.95
397778,51,10,1,4.3,4.36,4.28,4.54,4.44,4.9,4.26,0.45
82481,108,0,0,4.78,4.69,4.96,4.97,4.96,4.95,4.69,0.78
84719,187,2,0,4.68,4.78,4.87,4.82,4.85,4.44,4.69,1.35
398450,272,36,2,4.67,4.73,4.64,4.87,4.92,4.91,4.68,2.15
86042,168,15,1,4.82,4.82,4.65,4.85,4.89,4.9,4.7,1.23
402588,176,27,0,4.53,4.67,4.67,4.72,4.61,4.9,4.56,1.52
404569,64,13,1,4.34,4.38,4.53,4.66,4.55,4.77,4.14,0.69
89954,213,4,1,4.82,4.86,4.77,4.93,4.91,4.95,4.76,1.56
406341,146,17,0,4.95,4.97,4.88,4.99,4.98,4.93,4.89,1.15
414763,59,21,3,4.58,4.71,4.44,4.79,4.71,4.98,4.36,0.49
415967,152,0,0,4.64,4.7,4.79,4.89,4.89,4.25,4.59,1.2
93100,718,69,4,4.49,4.53,4.55,4.69,4.69,4.82,4.58,5.19
420039,696,44,2,4.22,4.41,4.41,4.75,4.71,4.79,4.29,5.56
100411,3,0,0,4.67,5.0,4.67,5.0,4.33,4.33,4.67,0.04
102040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427407,12,5,0,4.7,4.5,4.9,4.9,4.9,4.9,4.6,0.1
103541,236,38,5,4.55,4.68,4.69,4.69,4.79,4.76,4.58,1.73
429306,199,18,0,4.8,4.84,4.91,4.86,4.91,4.74,4.73,1.6
114854,130,11,1,4.56,4.56,4.58,4.83,4.82,4.83,4.52,0.98
429604,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,0.03
120293,249,45,3,4.75,4.86,4.82,4.89,4.88,4.96,4.73,1.85
449218,327,37,1,4.84,4.86,4.97,4.92,4.92,4.93,4.84,2.6
123864,604,60,6,4.64,4.75,4.78,4.79,4.86,4.87,4.64,4.43
451174,17,12,0,4.73,4.87,4.47,4.93,5.0,5.0,4.93,0.32
132428,130,25,0,4.82,4.9,4.84,4.88,4.94,4.98,4.9,2.02
456165,7,0,0,5.0,5.0,5.0,5.0,5.0,4.86,5.0,0.11
459303,50,23,2,4.52,4.54,4.68,4.7,4.68,4.92,4.52,0.52
