id,property_type,room_type,host_id,bedroom,beds,bathroom
6369,Private room in rental unit,Private room,13660,1.0,1.0,1 private bath
336672,Entire rental unit,Entire home/apt,1716726,4.0,4.0,2 baths
21853,Private room in rental unit,Private room,83531,1.0,1.0,1 bath
336834,Entire rental unit,Entire home/apt,1713427,2.0,3.0,1 bath
23001,Entire rental unit,Entire home/apt,82175,3.0,3.0,2 baths
336869,Private room in rental unit,Private room,6365055,1.0,1.0,1.5 baths
337292,Private room in rental unit,Private room,1714866,1.0,1.0,2 shared baths
24805,Entire rental unit,Entire home/apt,346366726,1.0,1.0,1 bath
26825,Private room in home,Private room,114340,1.0,1.0,1 private bath
339144,Entire rental unit,Entire home/apt,1721158,1.0,2.0,1 bath
339171,Entire rental unit,Entire home/apt,1722284,1.0,2.0,1 bath
341939,Entire rental unit,Entire home/apt,1694537,1.0,1.0,1 bath
28200,Entire rental unit,Entire home/apt,82175,3.0,3.0,Half-bath
30959,Entire loft,Entire home/apt,132883,1.0,1.0,1 bath
342095,Entire rental unit,Entire home/apt,1703448,1.0,2.0,1 bath
40718,Entire rental unit,Entire home/apt,34217435,1.0,2.0,1 bath
342557,Private room in rental unit,Private room,1738288,1.0,1.0,1 shared bath
47957,Entire condo,Entire home/apt,218515,2.0,2.0,2 baths
342670,Entire rental unit,Entire home/apt,1738846,1.0,1.0,1 bath
62423,Private room in rental unit,Private room,303845,1.0,2.0,1.5 shared baths
345249,Entire rental unit,Entire home/apt,1751133,3.0,4.0,2 baths
70059,Entire rental unit,Entire home/apt,353616,1.0,1.0,1 bath
70073,Entire rental unit,Entire home/apt,353738,1.0,1.0,1 bath
354838,Entire rental unit,Entire home/apt,1496188,2.0,3.0,1 bath
70310,Entire rental unit,Entire home/apt,353738,1.0,2.0,1 bath
74352,Entire rental unit,Entire home/apt,391014,1.0,2.0,1 bath
361053,Entire rental unit,Entire home/apt,1729503,2.0,4.0,1 bath
82481,Entire rental unit,Entire home/apt,448981,1.0,1.0,1 bath
84719,Entire rental unit,Entire home/apt,259229,1.0,1.0,1 bath
86042,Entire rental unit,Entire home/apt,364585,3.0,3.0,1 bath
363476,Private room in rental unit,Private room,1836617,1.0,1.0,1.5 shared baths
89954,Entire loft,Entire home/apt,487095,2.0,3.0,1 bath
371532,Entire rental unit,Entire home/apt,1871034,1.0,2.0,1 bath
92920,Private room in rental unit,Private room,495849,1.0,1.0,1.5 shared baths
375472,Private room in bed and breakfast,Private room,1888816,1.0,1.0,1.5 shared baths
376379,Entire loft,Entire home/apt,1892467,1.0,1.0,1 bath
93100,Private room in rental unit,Private room,499977,1.0,2.0,2 baths
396532,Entire rental unit,Entire home/apt,1981346,1.0,2.0,1 bath
100411,Entire rental unit,Entire home/apt,527760,1.0,1.0,1 bath
102040,Private room in rental unit,Private room,533936,1.0,1.0,1 shared bath
397778,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
102194,Entire rental unit,Entire home/apt,534515,2.0,2.0,1 bath
398450,Entire rental unit,Entire home/apt,2150362,1.0,2.0,1 bath
103541,Entire rental unit,Entire home/apt,361930,2.0,3.0,2 baths
114854,Entire rental unit,Entire home/apt,361930,1.0,2.0,1 bath
402588,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
120293,Private room in rental unit,Private room,605612,1.0,2.0,1 shared bath
404569,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
123864,Entire rental unit,Entire home/apt,605612,1.0,2.0,1 bath
406341,Private room in rental unit,Private room,2024487,1.0,2.0,1.5 baths
132428,Private room in rental unit,Private room,650803,1.0,1.0,1 bath
410699,Entire loft,Entire home/apt,2044655,1.0,2.0,1 bath
414763,Entire rental unit,Entire home/apt,1408525,1.0,1.0,1 bath
136058,Private room in rental unit,Private room,666482,1.0,1.0,1 shared bath
150123,Entire rental unit,Entire home/apt,723539,1.0,1.0,1 bath
415967,Entire rental unit,Entire home/apt,2068619,1.0,1.0,1 bath
420039,Entire rental unit,Entire home/apt,9934732,1.0,1.0,1 bath
