id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6369,95,17,3,4.86,4.9,4.81,4.74,4.84,4.82,4.84,0.64
336672,82,25,4,4.82,4.82,4.62,4.8,4.94,4.8,4.76,1.5
21853,33,0,0,4.58,4.72,4.56,4.75,4.82,4.21,4.67,0.35
336834,46,2,0,4.62,4.75,4.25,4.86,4.77,4.95,4.6,0.37
23001,1,1,0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,0.3
336869,105,0,0,4.93,4.94,4.97,4.96,4.95,4.95,4.9,0.85
337292,7,0,0,5.0,4.8,5.0,5.0,5.0,5.0,5.0,0.06
24805,18,7,1,4.83,4.83,4.83,5.0,5.0,5.0,4.78,0.2
26825,163,14,3,4.7,4.82,4.93,4.8,4.73,4.72,4.74,1.11
339144,131,7,0,4.88,4.89,4.97,4.98,4.98,4.8,4.89,1.06
339171,174,17,0,4.87,4.87,4.94,4.89,4.92,4.94,4.86,1.41
341939,171,4,0,4.7,4.72,4.64,4.77,4.79,4.7,4.7,1.37
28200,7,4,0,4.17,4.33,4.33,4.83,4.5,4.33,4.5,0.05
30959,8,0,0,4.38,4.14,4.38,4.63,4.63,4.88,4.25,0.09
342095,34,2,1,4.81,4.94,4.94,4.97,4.91,4.79,4.82,0.28
40718,124,6,0,4.62,4.72,4.69,4.56,4.86,4.95,4.68,0.86
342557,61,7,2,4.83,4.87,4.9,4.93,4.92,4.83,4.76,0.58
47957,57,2,0,4.84,4.89,4.87,4.87,4.83,4.9,4.79,0.41
342670,30,0,0,4.73,4.74,4.44,4.78,4.96,4.79,4.82,0.26
62423,130,47,4,4.58,4.77,4.32,4.77,4.85,4.96,4.47,2.62
345249,28,0,0,4.37,4.48,4.44,4.7,4.7,4.22,4.22,0.25
70059,56,15,1,4.7,4.74,4.78,4.87,4.89,4.94,4.5,0.41
70073,26,7,0,4.36,4.52,4.5,4.48,4.48,4.64,4.2,0.2
354838,38,0,0,4.73,4.79,4.24,4.89,4.92,4.89,4.58,0.31
70310,25,5,1,4.25,4.56,4.44,4.79,4.64,4.83,4.04,0.18
74352,5,0,0,4.6,4.6,4.4,5.0,5.0,4.8,4.6,0.08
361053,166,10,3,4.57,4.67,4.63,4.87,4.84,4.76,4.55,1.34
82481,108,0,0,4.78,4.69,4.96,4.97,4.96,4.95,4.69,0.8
84719,187,2,0,4.68,4.78,4.87,4.82,4.85,4.44,4.69,1.38
86042,161,8,2,4.82,4.81,4.64,4.85,4.89,4.9,4.69,1.21
363476,456,58,4,4.54,4.55,4.57,4.69,4.79,4.98,4.51,3.69
89954,209,0,0,4.82,4.85,4.77,4.93,4.92,4.95,4.75,1.57
371532,100,22,0,4.86,4.92,4.68,4.82,4.94,4.98,4.82,0.81
92920,98,6,4,4.96,4.94,4.94,4.98,4.99,4.98,4.84,0.73
375472,148,1,0,4.66,4.65,4.76,4.82,4.71,4.71,4.72,1.24
376379,22,3,0,4.45,4.64,4.41,4.91,4.91,5.0,4.36,0.21
93100,698,55,7,4.48,4.52,4.54,4.69,4.69,4.82,4.58,5.17
396532,119,0,0,4.86,4.87,4.86,4.97,4.96,4.86,4.84,0.97
100411,3,0,0,4.67,5.0,4.67,5.0,4.33,4.33,4.67,0.04
102040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397778,46,8,0,4.31,4.42,4.33,4.58,4.51,4.89,4.27,0.41
102194,26,3,0,4.68,4.76,4.68,4.88,4.92,4.88,4.4,0.2
