id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6369,89,11,1,4.88,4.92,4.81,4.78,4.86,4.81,4.86,0.61
21853,33,0,0,4.58,4.72,4.56,4.75,4.82,4.21,4.67,0.37
23001,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24805,17,7,0,4.82,4.82,4.82,5.0,5.0,5.0,4.76,0.19
26825,157,8,2,4.69,4.81,4.92,4.79,4.72,4.71,4.73,1.09
28200,7,4,0,4.17,4.33,4.33,4.83,4.5,4.33,4.5,0.05
30959,8,0,0,4.38,4.14,4.38,4.63,4.63,4.88,4.25,0.1
40718,122,4,0,4.61,4.72,4.68,4.56,4.86,4.95,4.68,0.86
47957,57,2,0,4.84,4.89,4.87,4.87,4.83,4.9,4.79,0.42
62423,123,44,4,4.59,4.79,4.33,4.8,4.87,4.97,4.48,2.63
70059,55,14,0,4.7,4.74,4.77,4.87,4.89,4.94,4.49,0.41
70073,25,6,3,4.33,4.5,4.48,4.46,4.46,4.63,4.17,0.2
70310,23,3,0,4.23,4.57,4.43,4.77,4.61,4.82,4.0,0.17
74352,5,0,0,4.6,4.6,4.4,5.0,5.0,4.8,4.6,0.09
82481,108,0,0,4.78,4.69,4.96,4.97,4.96,4.95,4.69,0.81
84719,187,2,0,4.68,4.78,4.87,4.82,4.85,4.44,4.69,1.41
86042,153,0,0,4.82,4.81,4.64,4.86,4.89,4.89,4.68,1.17
92920,94,2,0,4.97,4.93,4.96,4.98,5.0,4.98,4.84,0.72
93100,675,32,4,4.47,4.51,4.53,4.68,4.69,4.82,4.57,5.11
96807,77,0,0,4.55,4.58,4.74,4.61,4.7,3.92,4.58,0.59
100411,3,0,0,4.67,5.0,4.67,5.0,4.33,4.33,4.67,0.04
102040,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102194,26,3,0,4.68,4.76,4.68,4.88,4.92,4.88,4.4,0.2
103541,213,28,1,4.55,4.67,4.7,4.73,4.78,4.75,4.56,1.64
114854,121,7,0,4.56,4.54,4.59,4.84,4.85,4.83,4.52,0.95
120293,223,28,1,4.74,4.86,4.81,4.89,4.88,4.96,4.74,1.73
123864,569,40,3,4.64,4.74,4.78,4.79,4.86,4.86,4.64,4.37
127819,114,24,1,4.53,4.62,4.52,4.85,4.88,4.94,4.54,0.98
132428,108,4,0,4.87,4.92,4.83,4.9,4.94,5.0,4.92,1.86
136058,80,8,0,4.93,4.96,4.95,4.97,4.97,4.69,4.91,0.62
150123,25,1,1,4.96,4.96,5.0,4.71,4.83,4.83,4.83,0.35
153798,8,2,1,4.88,4.63,5.0,4.38,4.75,4.88,4.88,0.24
156555,12,0,0,4.58,5.0,4.5,4.83,5.0,4.42,4.33,0.09
163429,8,0,0,4.75,5.0,4.57,5.0,4.86,5.0,4.71,0.06
167183,29,6,1,4.88,4.92,4.96,4.96,4.92,4.88,4.92,0.25
170750,190,0,0,4.48,4.58,4.29,4.84,4.77,4.89,4.59,1.5
177523,22,10,1,4.62,4.68,4.68,4.77,4.82,4.91,4.5,0.17
196197,317,29,3,4.7,4.73,4.79,4.8,4.86,4.87,4.62,2.48
199201,149,0,0,4.87,4.85,4.9,4.99,4.99,4.99,4.8,1.16
200828,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204570,100,0,0,4.85,4.84,4.83,4.94,4.91,4.97,4.84,0.79
205199,285,13,0,4.92,4.97,4.98,4.95,4.94,4.93,4.91,2.23
209373,38,1,0,4.92,4.92,4.84,4.97,4.97,4.92,4.89,0.31
211444,135,14,1,4.94,4.97,4.99,4.99,4.94,4.76,4.92,1.07
217674,232,26,1,4.82,4.81,4.76,4.87,4.87,4.96,4.71,1.85
219303,208,23,1,4.4,4.56,4.46,4.67,4.64,4.84,4.42,1.64
225462,159,12,4,4.66,4.54,4.54,4.74,4.88,4.94,4.57,1.28
225489,31,0,0,4.72,4.9,4.86,5.0,4.93,4.83,4.83,0.27
229664,503,10,1,4.29,4.48,4.2,4.52,4.63,4.46,4.37,3.96
231861,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250858,5,0,0,5.0,3.5,4.0,4.5,5.0,3.5,4.5,0.04
256004,147,1,0,4.57,4.58,4.68,4.82,4.8,4.97,4.5,1.21
260656,37,1,0,4.46,4.74,4.12,4.91,4.85,4.47,4.5,0.3
260951,136,1,0,4.69,4.77,4.88,4.88,4.83,4.24,4.72,1.13
261878,512,30,3,4.9,4.91,4.73,4.99,4.98,4.96,4.8,4.08
263748,115,5,1,4.74,4.81,4.95,4.9,4.89,4.33,4.74,0.98
268275,57,0,0,4.69,4.86,4.86,4.82,4.82,4.77,4.68,0.46
280733,39,7,0,4.79,4.87,4.77,4.82,4.85,4.79,4.69,0.37
281224,120,15,2,4.53,4.72,4.81,4.58,4.76,4.97,4.57,1.8
287660,11,0,0,5.0,4.8,4.9,4.9,5.0,4.7,4.9,0.09
289555,174,6,1,4.49,4.53,4.45,4.7,4.67,4.83,4.59,1.68
294520,31,6,0,4.43,4.83,4.2,4.97,4.93,5.0,4.17,0.36
294529,67,12,2,4.57,4.65,4.45,4.86,4.79,4.94,4.63,0.54
297017,69,13,0,4.25,4.34,4.44,4.54,4.49,4.9,4.15,0.92
310333,123,15,1,4.63,4.76,4.75,4.85,4.88,4.81,4.58,1.06
336672,70,14,3,4.81,4.81,4.7,4.8,4.93,4.8,4.76,1.35
336834,46,2,0,4.62,4.75,4.25,4.86,4.77,4.95,4.6,0.38
336869,105,0,0,4.93,4.94,4.97,4.96,4.95,4.95,4.9,0.87
337292,7,0,0,5.0,4.8,5.0,5.0,5.0,5.0,5.0,0.06
339144,130,6,0,4.87,4.89,4.97,4.98,4.98,4.8,4.88,1.07
