id,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365
6369,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,11,32,62,62
21853,0.99,4,40,4,4,40,40,4.0,40.0,t,29,59,89,364
24805,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,3,14,44,124
361053,0.99,2,365,2,2,365,365,2.0,365.0,t,0,0,20,108
30320,0.99,5,180,5,5,180,180,5.0,180.0,f,0,0,0,0
363476,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,4,10,22,229
30959,0.99,3,730,3,3,730,730,3.0,730.0,f,0,0,0,0
371532,0.99,2,365,2,2,365,365,2.0,365.0,t,0,2,6,96
40718,0.99,2,500,2,2,1125,1125,2.0,1125.0,t,7,21,51,318
374558,0.99,1,180,2,3,1125,1125,2.4,1125.0,t,9,15,15,15
40916,0.99,5,180,5,5,180,180,5.0,180.0,f,0,0,0,0
62423,0.99,1,30,1,1,1125,1125,1.0,1125.0,t,15,38,63,335
375472,0.99,6,365,6,6,365,365,6.0,365.0,t,10,34,34,34
70073,0.99,28,360,28,28,1125,1125,28.0,1125.0,t,0,6,36,311
376379,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,0,0,0,248
70310,0.99,28,360,28,28,1125,1125,28.0,1125.0,t,5,7,37,312
382511,0.99,2,60,2,2,60,60,2.0,60.0,t,21,51,81,81
74352,0.99,8,1125,8,8,1125,1125,8.0,1125.0,t,0,0,0,217
396532,0.99,3,18,3,3,18,18,3.0,18.0,t,11,11,13,260
397778,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,9,27,45,299
82481,0.99,3,365,3,3,365,365,3.0,365.0,t,0,0,0,0
398450,0.99,3,90,2,3,90,90,3.0,90.0,t,4,4,15,242
402588,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,10,21,35,289
404569,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,3,11,18,282
84719,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,3,18,18,18
406341,0.99,4,180,4,4,180,180,4.0,180.0,t,6,7,8,72
414763,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,5,17,30,269
86042,0.99,4,365,2,4,365,365,4.0,365.0,t,18,42,72,162
89954,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,16,42,72,347
415967,0.99,2,30,2,2,30,30,2.0,30.0,t,1,17,41,67
93100,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,7,14,28,279
427407,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,7,18,42,292
100411,0.99,2,30,2,2,30,30,2.0,30.0,t,0,0,0,0
429306,0.99,3,365,3,3,1125,1125,3.0,1125.0,t,6,12,31,187
102040,0.99,3,90,3,3,90,90,3.0,90.0,t,0,0,0,0
429604,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,9,28,52,302
103541,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,9,21,51,311
449218,0.99,3,1125,2,4,1125,1125,3.9,1125.0,t,2,2,11,37
114854,0.99,2,90,2,2,1125,1125,2.0,1125.0,t,0,1,4,199
120293,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,11,39,69,344
451174,0.99,1,1125,1,2,1125,1125,1.3,1125.0,t,6,29,59,59
123864,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,8,23,45,117
456165,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
459303,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,1,17,40,289
132428,0.99,3,730,3,3,730,730,3.0,730.0,t,1,31,61,336
136058,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
150123,0.99,1,1125,3,6,99,99,3.9,99.0,t,0,0,3,28
459362,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,2,6,19,254
163429,0.99,90,365,90,90,365,365,90.0,365.0,t,27,57,87,87
167183,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,20,50,80,355
177523,0.99,1,365,1,13,2,1125,9.7,317.4,t,0,19,49,324
196197,0.99,3,1125,1,3,1125,1125,3.0,1125.0,t,3,9,11,258
200828,0.99,14,100,14,14,100,100,14.0,100.0,f,0,0,0,0
462072,0.99,2,1124,2,2,2,1125,2.0,1093.5,t,0,5,20,41
204570,0.99,6,365,6,6,1125,1125,6.0,1125.0,t,0,6,36,36
205199,0.99,31,365,15,30,365,365,29.0,365.0,t,8,20,50,325
209373,0.99,1,60,1,1,1125,1125,1.0,1125.0,t,0,0,0,6
468202,0.99,30,1125,10,30,1125,1125,29.5,1125.0,t,0,0,0,217
211444,0.99,2,365,2,2,365,365,2.0,365.0,t,18,43,69,327
469231,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,7,20,42,306
217674,0.99,3,300,2,4,300,300,3.0,300.0,t,13,26,53,328
470132,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,0,1,2,200
471198,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,3,21,47,306
219303,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,2,14,37,307
221017,0.99,8,52,8,15,52,52,9.0,52.0,t,0,3,15,15
225489,0.99,25,365,25,25,365,365,25.0,365.0,f,0,0,0,0
471328,0.99,3,365,2,3,1125,1125,3.0,1125.0,t,5,16,37,302
229664,0.99,10,1125,10,10,1125,1125,10.0,1125.0,t,8,24,54,329
256004,0.99,3,300,2,4,300,300,3.0,300.0,t,30,60,90,365
479718,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,13,13,13,13
482122,0.99,3,1125,2,3,1125,1125,3.0,1125.0,t,4,11,30,289
491070,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,37
499911,0.99,4,1125,2,4,1125,1125,4.0,1125.0,t,3,4,14,199
258713,0.99,3,30,3,3,30,30,3.0,30.0,t,2,30,60,140
502918,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,5,24,162
260656,0.99,14,365,14,14,365,365,14.0,365.0,t,9,9,9,267
506956,0.99,1,20,1,1,1125,1125,1.0,1125.0,t,10,29,59,59
507614,0.99,15,1124,15,15,1124,1124,15.0,1124.0,t,2,2,26,154
260951,0.99,2,390,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
510973,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,30,60,90,365
261878,0.99,1,1125,1,2,1125,1125,1.3,1125.0,t,9,26,55,139
514917,0.99,4,40,4,4,40,40,4.0,40.0,t,28,58,88,363
515008,0.99,2,1000,2,3,1125,1125,2.4,1125.0,t,0,0,0,0
263748,0.99,2,120,2,2,1125,1125,2.0,1125.0,t,12,35,51,141
518208,0.99,2,1000,2,3,1125,1125,2.4,1125.0,t,0,0,0,0
268275,0.99,3,365,1,3,1125,1125,3.0,1125.0,t,2,4,15,176
521329,0.99,30,365,30,30,365,365,30.0,365.0,t,0,0,0,203
272279,0.99,5,45,1,5,365,365,5.0,365.0,t,7,20,32,32
522563,0.99,4,60,4,4,60,60,4.0,60.0,t,10,40,70,70
280733,0.99,1,365,1,12,2,1125,4.0,287.8,t,27,53,72,347
281224,0.99,2,1000,2,3,1125,1125,2.6,1125.0,t,17,41,71,346
524003,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,3,3,3,240
287660,0.99,1,365,1,1,365,365,1.0,365.0,t,0,0,0,0
526162,0.99,2,1125,2,2,1125,1125,2.0,1125.0,f,0,0,0,0
289555,0.99,1,180,1,4,180,180,1.9,180.0,t,30,60,90,365
526513,0.99,2,330,1,3,1125,1125,2.1,1125.0,t,0,3,30,287
531677,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,65
536574,0.99,3,1125,3,3,1125,1125,3.0,1125.0,f,0,0,0,0
294520,0.99,3,90,3,3,1125,1125,3.0,1125.0,t,30,60,90,365
540937,0.99,2,90,1,3,1125,1125,2.4,1125.0,t,2,9,19,101
294529,0.99,3,90,3,3,90,90,3.0,90.0,t,29,59,89,364
544736,0.99,3,365,1,3,365,365,3.0,365.0,t,4,7,10,227
297017,0.99,1,365,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
310333,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,9,9,31,294
336672,0.99,2,35,2,3,1125,1125,2.3,1125.0,t,9,25,55,55
336834,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,0,0,5,227
548995,0.99,6,30,6,6,30,30,6.0,30.0,t,0,8,17,234
339144,0.99,28,1125,28,28,1125,1125,28.0,1125.0,t,3,13,43,256
339171,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,3,6,13,160
341939,0.99,25,100,25,25,100,100,25.0,100.0,t,1,1,3,22
552183,0.99,3,15,3,3,15,15,3.0,15.0,t,4,29,59,334
342095,0.99,5,1125,5,5,1125,1125,5.0,1125.0,t,11,15,28,280
345249,0.99,32,333,31,31,333,333,31.0,333.0,t,5,35,65,340
558690,0.99,14,330,14,14,1125,1125,14.0,1125.0,t,0,0,0,250
347510,0.99,90,660,38,90,660,660,80.1,660.0,t,0,0,0,219
560941,0.99,1,365,1,21,3,1125,13.6,339.4,t,24,54,84,359
354838,0.99,20,300,20,20,300,300,20.0,300.0,t,0,0,0,0
695909,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,0,0,0,0
565152,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,0,5,9,83
696928,0.99,2,2,2,2,1125,1125,2.0,1125.0,t,30,60,90,365
566241,0.99,30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,0,37
704155,0.99,1,60,2,3,60,60,2.4,60.0,t,0,6,30,30
568190,0.99,2,1125,2,2,1125,1125,2.0,1125.0,t,0,1,2,2
570158,0.99,6,30,6,6,30,30,6.0,30.0,t,0,5,10,285
708275,0.99,240,1125,240,249,1125,1125,240.6,1125.0,t,29,59,89,364
572048,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,0
576487,0.99,1,1125,1,1,1125,1125,1.0,1125.0,t,11,19,46,134
588382,0.99,2,30,2,2,1125,1125,2.0,1125.0,t,0,0,0,0
709208,0.99,2,1125,1,2,1125,1125,2.0,1125.0,t,1,22,52,325
588518,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,5,13,43,43
710156,0.99,1,60,1,1,1125,1125,1.0,1125.0,t,0,0,0,0
590710,0.99,4,1125,4,4,1125,1125,4.0,1125.0,t,13,24,54,329
716292,0.99,12,90,5,12,90,90,11.6,90.0,t,6,6,11,286
594298,0.99,1,1125,1,1,798,1125,1.0,1020.5,t,5,15,32,260
717313,0.99,3,91,3,3,91,91,3.0,91.0,t,1,4,14,247
598771,0.99,3,65,3,3,65,65,3.0,65.0,t,0,0,0,171
599134,0.99,30,365,30,30,365,365,30.0,365.0,f,0,0,0,0
721377,0.99,7,1125,7,7,1125,1125,7.0,1125.0,t,0,0,0,262
604150,0.99,30,365,30,30,365,365,30.0,365.0,t,20,20,25,300
723088,0.99,3,30,3,3,30,30,3.0,30.0,t,15,37,67,331
724700,0.99,1,1125,3,28,1125,1125,26.7,1125.0,t,11,21,45,105
604632,0.99,1,1000,1,1,1125,1125,1.0,1125.0,t,29,36,66,341
727588,0.99,30,360,30,30,1125,1125,30.0,1125.0,t,0,0,24,299
605339,0.99,3,7,3,3,7,7,3.0,7.0,t,23,23,23,23
728978,0.99,15,90,15,15,90,90,15.0,90.0,t,0,0,2,277
607548,0.99,2,7,2,2,7,7,2.0,7.0,t,0,0,0,0
730347,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,2,2,25,294
608742,0.99,2,60,2,4,1125,1125,2.1,1125.0,t,5,17,30,30
730502,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,7,21,46,279
733365,0.99,3,30,2,3,30,30,3.0,30.0,t,5,26,52,277
610675,0.99,3,9,3,3,9,9,3.0,9.0,t,0,0,0,0
616027,0.99,1,4,1,1,4,4,1.0,4.0,t,0,0,0,0
734053,0.99,30,1825,30,30,1825,1825,30.0,1825.0,t,0,1,3,188
618576,0.99,2,60,2,4,1125,1125,2.1,1125.0,t,1,13,37,37
745664,0.99,3,4,3,3,4,4,3.0,4.0,t,7,19,25,202
745744,0.99,7,365,7,7,365,365,7.0,365.0,t,9,25,55,330
625566,0.99,2,4,2,2,4,4,2.0,4.0,t,0,0,0,0
747873,0.99,2,180,1,3,180,180,1.4,180.0,t,4,5,31,88
631737,0.99,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,0
748854,0.99,5,365,5,5,365,365,5.0,365.0,t,15,40,65,155
